RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E09
Borehole,P16 SC3 Sur
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,32500000
Reading Date(m/d/y),01/13/2024,10:23:38
Depth,-21.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01495628,-0.01518365,-0.02412930,0.02453519
-1.0,0.01349065,-0.01319120,-0.02165844,0.02192234
-1.5,0.00517144,-0.00452091,-0.00984729,0.01000621
-2.0,0.00459983,-0.00426085,-0.00526641,0.00545466
-2.5,0.00321351,-0.00292797,-0.00451357,0.00467491
-3.0,0.00040382,-0.00021602,-0.00329467,0.00354518
-3.5,0.00098724,-0.00053387,-0.00170224,0.00190319
-4.0,0.00227386,-0.00168016,0.00076326,-0.00069167
-4.5,-0.00481385,0.00473226,0.00300752,-0.00284228
-5.0,-0.00245590,0.00300470,0.00135647,-0.00121892
-5.5,-0.00083370,0.00119884,0.00062522,-0.00050438
-6.0,-0.00553255,0.00580980,0.00167319,-0.00150365
-6.5,-0.00563142,0.00599756,0.00357690,-0.00337688
-7.0,-0.00146848,0.00178973,0.00139126,-0.00152385
-7.5,0.00116896,-0.00081692,-0.00249164,0.00273562
-8.0,-0.00085178,0.00122038,-0.00071120,0.00088999
-8.5,-0.00156063,0.00186712,-0.00092577,0.00109498
-9.0,-0.00146234,0.00176023,-0.00085685,0.00107970
-9.5,-0.00276540,0.00314779,0.00359931,-0.00338258
-10.0,0.00131114,-0.00115814,0.00070981,-0.00064496
-10.5,0.00042169,-0.00018171,0.00020859,-0.00001599
-11.0,-0.00125082,0.00175434,0.00049352,-0.00030962
-11.5,-0.00063966,0.00096903,-0.00025820,0.00058581
-12.0,0.00285800,-0.00260419,-0.00114289,0.00114496
-12.5,0.00657929,-0.00622811,0.00027951,-0.00010755
-13.0,0.00414001,-0.00407409,-0.00388011,0.00406262
-13.5,0.00468192,-0.00410073,-0.00734019,0.00747588
-14.0,0.00428037,-0.00395715,-0.00223037,0.00233402
-14.5,0.00420719,-0.00385905,-0.00391606,0.00385175
-15.0,0.00511035,-0.00474471,-0.00611071,0.00621616
-15.5,0.00177512,-0.00164658,-0.00439499,0.00461044
-16.0,0.00410250,-0.00363063,-0.00326080,0.00336020
-16.5,0.00251790,-0.00202948,-0.00227889,0.00246580
-17.0,0.00114062,-0.00105796,-0.00136458,0.00164041
-17.5,0.00377087,-0.00333028,0.00131291,-0.00108521
-18.0,0.00435512,-0.00407498,0.00357001,-0.00335113
-18.5,0.00232751,-0.00180350,0.00772218,-0.00760122
-19.0,-0.00181694,0.00205238,0.00405200,-0.00391284
-19.5,-0.00227139,0.00259584,0.00207538,-0.00195574
-20.0,-0.00332595,0.00365709,0.00440986,-0.00424174
-20.5,-0.00483100,0.00493363,0.00386501,-0.00381896
-21.0,-0.00546264,0.00614196,0.00373050,-0.00343674
-21.5,-0.00606120,0.00624427,0.00545978,-0.00532986
