RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E09
Borehole,P16 SC3 Sur
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,32500000
Reading Date(m/d/y),04/15/2024,13:17:31
Depth,-21.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01489511,-0.01498256,-0.02327168,0.02383804
-1.0,0.01292047,-0.01340315,-0.02146040,0.02166259
-1.5,0.00503221,-0.00508361,-0.01017053,0.00973723
-2.0,0.00419416,-0.00453826,-0.00550290,0.00505219
-2.5,0.00284896,-0.00315589,-0.00469674,0.00446049
-3.0,-0.00013660,-0.00039369,-0.00347443,0.00325303
-3.5,0.00059199,-0.00073697,-0.00197149,0.00187166
-4.0,0.00183336,-0.00186712,0.00063483,-0.00093733
-4.5,-0.00532273,0.00449188,0.00286210,-0.00323954
-5.0,-0.00284556,0.00285843,0.00120583,-0.00144089
-5.5,-0.00110626,0.00098754,0.00063459,-0.00060918
-6.0,-0.00590842,0.00553873,0.00171714,-0.00185465
-6.5,-0.00601749,0.00573183,0.00341997,-0.00364109
-7.0,-0.00146762,0.00184914,0.00115318,-0.00164118
-7.5,0.00112678,-0.00078160,-0.00292342,0.00284145
-8.0,-0.00090497,0.00125817,-0.00101166,0.00083651
-8.5,-0.00157512,0.00190198,-0.00110153,0.00107330
-9.0,-0.00154609,0.00178579,-0.00113491,0.00107415
-9.5,-0.00278551,0.00318929,0.00336731,-0.00358627
-10.0,0.00120424,-0.00178787,0.00034357,-0.00068092
-10.5,0.00039458,-0.00018090,-0.00000142,-0.00015154
-11.0,-0.00131275,0.00175480,0.00023768,-0.00049728
-11.5,-0.00063433,0.00096346,-0.00034262,0.00055097
-12.0,0.00295951,-0.00269389,-0.00125618,0.00096630
-12.5,0.00659159,-0.00624909,0.00012129,-0.00024721
-13.0,0.00404823,-0.00407693,-0.00432723,0.00441605
-13.5,0.00475372,-0.00418010,-0.00738550,0.00707441
-14.0,0.00423139,-0.00392237,-0.00215532,0.00211095
-14.5,0.00423102,-0.00443253,-0.00433920,0.00383662
-15.0,0.00484551,-0.00481153,-0.00618774,0.00598323
-15.5,0.00165763,-0.00242680,-0.00462824,0.00438806
-16.0,0.00383326,-0.00410753,-0.00335229,0.00300429
-16.5,0.00235398,-0.00254165,-0.00252421,0.00237504
-17.0,0.00090745,-0.00133988,-0.00177831,0.00141653
-17.5,0.00396089,-0.00351938,0.00106476,-0.00115008
-18.0,0.00439899,-0.00415875,0.00328099,-0.00359547
-18.5,0.00223254,-0.00175397,0.00750519,-0.00776405
-19.0,-0.00171471,0.00197876,0.00343798,-0.00332108
-19.5,-0.00226871,0.00254254,0.00191194,-0.00233686
-20.0,-0.00261078,0.00271123,0.00396235,-0.00346451
-20.5,-0.00341955,0.00560441,0.00370652,-0.00405003
-21.0,-0.00448468,0.00710384,0.00360019,-0.00359309
-21.5,-0.00582065,0.00633613,0.00551467,-0.00535059
