RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E09
Borehole,P16 SC3 Sur
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,32500000
Reading Date(m/d/y),07/02/2024,22:53:29
Depth,-21.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01489470,-0.01498332,-0.02327702,0.02384191
-1.0,0.01288459,-0.01344848,-0.02146133,0.02166360
-1.5,0.00503152,-0.00516219,-0.01016891,0.00973812
-2.0,0.00415710,-0.00458452,-0.00550175,0.00505372
-2.5,0.00281978,-0.00319401,-0.00469576,0.00446101
-3.0,-0.00018917,-0.00042494,-0.00347360,0.00325380
-3.5,0.00056142,-0.00076902,-0.00197037,0.00187149
-4.0,0.00179061,-0.00189957,0.00063560,-0.00093644
-4.5,-0.00537712,0.00445365,0.00286290,-0.00323789
-5.0,-0.00287847,0.00283164,0.00120660,-0.00143996
-5.5,-0.00112972,0.00095425,0.00063463,-0.00060897
-6.0,-0.00594137,0.00549800,0.00171701,-0.00185331
-6.5,-0.00605568,0.00569360,0.00342036,-0.00364027
-7.0,-0.00146756,0.00184918,0.00115390,-0.00164052
-7.5,0.00112711,-0.00078175,-0.00292165,0.00284083
-8.0,-0.00090456,0.00125811,-0.00101036,0.00083647
-8.5,-0.00157491,0.00190187,-0.00110065,0.00107302
-9.0,-0.00154556,0.00178573,-0.00113384,0.00107390
-9.5,-0.00278523,0.00318918,0.00336857,-0.00358569
-10.0,0.00118823,-0.00186480,0.00034473,-0.00068082
-10.5,0.00039493,-0.00018104,-0.00000044,-0.00015101
-11.0,-0.00131227,0.00175484,0.00023874,-0.00049708
-11.5,-0.00063410,0.00096350,-0.00034237,0.00055097
-12.0,0.00295939,-0.00269348,-0.00125552,0.00096700
-12.5,0.00659181,-0.00624915,0.00012188,-0.00024732
-13.0,0.00404879,-0.00407706,-0.00432626,0.00441479
-13.5,0.00475370,-0.00417987,-0.00738521,0.00707622
-14.0,0.00423178,-0.00392253,-0.00215544,0.00211139
-14.5,0.00422410,-0.00449811,-0.00433756,0.00383673
-15.0,0.00481676,-0.00482830,-0.00618752,0.00598424
-15.5,0.00163918,-0.00250456,-0.00462748,0.00438885
-16.0,0.00380365,-0.00415959,-0.00335264,0.00300569
-16.5,0.00232776,-0.00259458,-0.00252347,0.00237527
-17.0,0.00088004,-0.00137488,-0.00177686,0.00141711
-17.5,0.00396026,-0.00351856,0.00106548,-0.00114983
-18.0,0.00439887,-0.00415829,0.00328190,-0.00359462
-18.5,0.00223287,-0.00175408,0.00750620,-0.00776335
-19.0,-0.00171497,0.00197922,0.00343956,-0.00332356
-19.5,-0.00226868,0.00254287,0.00191322,-0.00233557
-20.0,-0.00252654,0.00255613,0.00396422,-0.00346730
-20.5,-0.00328464,0.00566705,0.00370707,-0.00404914
-21.0,-0.00439591,0.00719667,0.00360064,-0.00359238
-21.5,-0.00579394,0.00633444,0.00551532,-0.00535087
