RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E09
Borehole,P16 SC3 Sur
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,32500000
Reading Date(m/d/y),12/14/2023,02:46:34
Depth,-21.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01543854,-0.01532835,-0.02416007,0.02481554
-1.0,0.01363559,-0.01298774,-0.02167895,0.02194172
-1.5,0.00529131,-0.00435875,-0.00976839,0.01001461
-2.0,0.00481876,-0.00414483,-0.00525197,0.00543187
-2.5,0.00334489,-0.00280048,-0.00450386,0.00463084
-3.0,0.00059866,-0.00012458,-0.00335383,0.00348789
-3.5,0.00113168,-0.00047021,-0.00172770,0.00185520
-4.0,0.00247210,-0.00157576,0.00082990,-0.00068954
-4.5,-0.00459391,0.00484931,0.00299296,-0.00278627
-5.0,-0.00235174,0.00314181,0.00139671,-0.00120682
-5.5,-0.00070356,0.00134837,0.00067031,-0.00051710
-6.0,-0.00545178,0.00597589,0.00172435,-0.00158603
-6.5,-0.00550773,0.00614507,0.00353304,-0.00342194
-7.0,-0.00130837,0.00197421,0.00137832,-0.00141275
-7.5,0.00124135,-0.00059531,-0.00248944,0.00276030
-8.0,-0.00077900,0.00143336,-0.00068282,0.00087280
-8.5,-0.00147799,0.00198267,-0.00091399,0.00105001
-9.0,-0.00146284,0.00200826,-0.00084346,0.00107999
-9.5,-0.00271071,0.00339966,0.00362975,-0.00338376
-10.0,0.00139619,-0.00091631,0.00071235,-0.00062590
-10.5,0.00045855,0.00006746,0.00025599,-0.00004836
-11.0,-0.00121779,0.00199644,0.00044533,-0.00038792
-11.5,-0.00057227,0.00122672,-0.00024398,0.00058139
-12.0,0.00299260,-0.00239768,-0.00110046,0.00114530
-12.5,0.00667662,-0.00600222,0.00026721,-0.00014933
-13.0,0.00412827,-0.00388642,-0.00406725,0.00414538
-13.5,0.00483966,-0.00392573,-0.00723989,0.00747169
-14.0,0.00437728,-0.00377017,-0.00214100,0.00223171
-14.5,0.00430416,-0.00367113,-0.00379656,0.00389276
-15.0,0.00522758,-0.00451216,-0.00607946,0.00621950
-15.5,0.00189133,-0.00153712,-0.00437207,0.00460348
-16.0,0.00421310,-0.00348173,-0.00329698,0.00341271
-16.5,0.00265533,-0.00187511,-0.00229446,0.00243411
-17.0,0.00121667,-0.00087943,-0.00137280,0.00156794
-17.5,0.00396481,-0.00322147,0.00127195,-0.00105310
-18.0,0.00447395,-0.00391714,0.00352220,-0.00340937
-18.5,0.00237597,-0.00161608,0.00773894,-0.00752220
-19.0,-0.00164580,0.00222564,0.00390464,-0.00384078
-19.5,-0.00213458,0.00274603,0.00222894,-0.00198969
-20.0,-0.00316759,0.00382308,0.00439115,-0.00426997
-20.5,-0.00467643,0.00507261,0.00384616,-0.00386043
-21.0,-0.00532019,0.00625006,0.00378905,-0.00341143
-21.5,-0.00592917,0.00638866,0.00555435,-0.00523033
