RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E09
Borehole,P16 SC3 Sur
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,32500000
Reading Date(m/d/y),04/01/2024,13:19:05
Depth,-21.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01489546,-0.01498191,-0.02328911,0.02385069
-1.0,0.01295127,-0.01336424,-0.02146343,0.02166590
-1.5,0.00503281,-0.00501614,-0.01016523,0.00974014
-2.0,0.00422598,-0.00449854,-0.00549914,0.00505716
-2.5,0.00287402,-0.00312316,-0.00469349,0.00446220
-3.0,-0.00009146,-0.00036687,-0.00347170,0.00325555
-3.5,0.00061821,-0.00070946,-0.00196783,0.00187111
-4.0,0.00187006,-0.00183926,0.00063733,-0.00093441
-4.5,-0.00527603,0.00452471,0.00286470,-0.00323411
-5.0,-0.00281730,0.00288142,0.00120832,-0.00143780
-5.5,-0.00108612,0.00101613,0.00063469,-0.00060848
-6.0,-0.00588013,0.00557369,0.00171666,-0.00185028
-6.5,-0.00598471,0.00576466,0.00342121,-0.00363837
-7.0,-0.00146768,0.00184911,0.00115550,-0.00163898
-7.5,0.00112650,-0.00078147,-0.00291765,0.00283937
-8.0,-0.00090531,0.00125824,-0.00100739,0.00083635
-8.5,-0.00157531,0.00190206,-0.00109866,0.00107237
-9.0,-0.00154655,0.00178586,-0.00113136,0.00107333
-9.5,-0.00278576,0.00318937,0.00337142,-0.00358435
-10.0,0.00121799,-0.00172181,0.00034732,-0.00068054
-10.5,0.00039429,-0.00018077,0.00000182,-0.00014977
-11.0,-0.00131316,0.00175480,0.00024112,-0.00049662
-11.5,-0.00063453,0.00096343,-0.00034177,0.00055096
-12.0,0.00295962,-0.00269424,-0.00125399,0.00096854
-12.5,0.00659139,-0.00624903,0.00012320,-0.00024754
-13.0,0.00404774,-0.00407685,-0.00432403,0.00441196
-13.5,0.00475372,-0.00418030,-0.00738454,0.00708032
-14.0,0.00423105,-0.00392224,-0.00215571,0.00211236
-14.5,0.00423698,-0.00437621,-0.00433383,0.00383698
-15.0,0.00487020,-0.00479713,-0.00618703,0.00598652
-15.5,0.00167348,-0.00236003,-0.00462572,0.00439064
-16.0,0.00385868,-0.00406284,-0.00335342,0.00300888
-16.5,0.00237649,-0.00249622,-0.00252183,0.00237578
-17.0,0.00093098,-0.00130983,-0.00177359,0.00141838
-17.5,0.00396145,-0.00352008,0.00106709,-0.00114927
-18.0,0.00439908,-0.00415916,0.00328394,-0.00359266
-18.5,0.00223226,-0.00175389,0.00750844,-0.00776172
-19.0,-0.00171449,0.00197838,0.00344313,-0.00332919
-19.5,-0.00226874,0.00254226,0.00191612,-0.00233261
-20.0,-0.00268310,0.00284438,0.00396843,-0.00347364
-20.5,-0.00353537,0.00555063,0.00370833,-0.00404708
-21.0,-0.00456090,0.00702414,0.00360168,-0.00359072
-21.5,-0.00584357,0.00633757,0.00551680,-0.00535149
