RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E09
Borehole,P16 SC3 Sur
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,32500000
Reading Date(m/d/y),11/09/2023,04:34:02
Depth,-21.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01605595,-0.01559553,-0.02446700,0.02495181
-1.0,0.01344809,-0.01287688,-0.02162548,0.02196140
-1.5,0.00508287,-0.00415009,-0.00971537,0.01000492
-2.0,0.00464317,-0.00398640,-0.00515315,0.00546283
-2.5,0.00321496,-0.00268843,-0.00439530,0.00458759
-3.0,0.00050539,-0.00001527,-0.00325991,0.00340022
-3.5,0.00099405,-0.00034646,-0.00166588,0.00181096
-4.0,0.00237014,-0.00148730,0.00086068,-0.00069244
-4.5,-0.00465282,0.00494716,0.00313574,-0.00282310
-5.0,-0.00244028,0.00315823,0.00137384,-0.00115459
-5.5,-0.00077787,0.00138328,0.00069779,-0.00054621
-6.0,-0.00550930,0.00600037,0.00172988,-0.00151097
-6.5,-0.00555562,0.00617975,0.00358749,-0.00342015
-7.0,-0.00131638,0.00201770,0.00137604,-0.00146268
-7.5,0.00120508,-0.00056673,-0.00245056,0.00272373
-8.0,-0.00084117,0.00145684,-0.00056115,0.00086394
-8.5,-0.00151809,0.00213806,-0.00081124,0.00100620
-9.0,-0.00152558,0.00202102,-0.00080569,0.00103908
-9.5,-0.00277049,0.00342008,0.00367492,-0.00341640
-10.0,0.00133764,-0.00085329,0.00076877,-0.00065719
-10.5,0.00040100,0.00010780,0.00031928,0.00002370
-11.0,-0.00127908,0.00204754,0.00049408,-0.00037139
-11.5,-0.00063576,0.00124478,-0.00009450,0.00057488
-12.0,0.00294530,-0.00232297,-0.00110581,0.00113423
-12.5,0.00660103,-0.00595549,0.00031083,-0.00015522
-13.0,0.00411202,-0.00384403,-0.00403597,0.00409173
-13.5,0.00480852,-0.00385079,-0.00725150,0.00753545
-14.0,0.00437418,-0.00382340,-0.00212988,0.00226107
-14.5,0.00431301,-0.00363617,-0.00383765,0.00384955
-15.0,0.00521618,-0.00465066,-0.00604079,0.00628990
-15.5,0.00190055,-0.00148153,-0.00437860,0.00463670
-16.0,0.00419740,-0.00349653,-0.00344313,0.00339557
-16.5,0.00267079,-0.00188240,-0.00230507,0.00246181
-17.0,0.00123107,-0.00092217,-0.00133558,0.00156669
-17.5,0.00393971,-0.00316731,0.00133054,-0.00108683
-18.0,0.00446043,-0.00394545,0.00363270,-0.00335424
-18.5,0.00238101,-0.00168988,0.00783420,-0.00754518
-19.0,-0.00166356,0.00220064,0.00390469,-0.00392696
-19.5,-0.00215389,0.00273689,0.00230956,-0.00200608
-20.0,-0.00321202,0.00377534,0.00441277,-0.00424783
-20.5,-0.00469283,0.00504153,0.00381353,-0.00379190
-21.0,-0.00531238,0.00626504,0.00357285,-0.00338904
-21.5,-0.00593548,0.00633568,0.00559715,-0.00532330
