RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E12
Borehole,IN-E12-15*
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),07/27/2023,12:45:00
Depth,-20.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.02448373,-0.02449742,-0.00343580,0.00439730
-1.0,0.02080806,-0.02011513,-0.00482809,0.00461556
-1.5,0.01378569,-0.01326486,-0.00635316,0.00629532
-2.0,0.00710418,-0.00685394,-0.00739299,0.00738891
-2.5,0.00388066,-0.00319443,-0.00527374,0.00530377
-3.0,0.00243376,-0.00192822,-0.00095476,0.00093236
-3.5,0.00312691,-0.00253627,0.00344282,-0.00346122
-4.0,-0.00066251,0.00118515,0.00123245,-0.00134273
-4.5,-0.00422613,0.00459186,-0.00063059,0.00046541
-5.0,-0.00735915,0.00804707,0.00209495,-0.00189275
-5.5,-0.00475042,0.00498065,0.00071251,-0.00095222
-6.0,-0.00196518,0.00241641,-0.00051067,0.00047613
-6.5,-0.00360276,0.00409417,0.00498765,-0.00483406
-7.0,-0.00388914,0.00435144,0.00533514,-0.00540603
-7.5,-0.00121128,0.00159970,0.00363124,-0.00388282
-8.0,0.00214213,-0.00151239,0.00568933,-0.00565657
-8.5,0.00267069,-0.00244871,0.00584835,-0.00604567
-9.0,0.00201245,-0.00140642,0.00518607,-0.00536445
-9.5,0.00097769,-0.00076178,-0.00326915,0.00295459
-10.0,-0.00106317,0.00186663,-0.00427672,0.00441673
-10.5,-0.00320384,0.00342478,-0.00209795,0.00227889
-11.0,-0.00686732,0.00738665,0.00195996,-0.00182777
-11.5,-0.00690053,0.00735846,-0.00076071,0.00065658
-12.0,-0.00526970,0.00560807,-0.00161656,0.00149582
-12.5,-0.00700534,0.00735448,-0.00036138,0.00020426
-13.0,-0.00564718,0.00621291,0.00282779,-0.00314349
-13.5,-0.00644240,0.00682231,0.00559343,-0.00559923
-14.0,-0.00733233,0.00803624,0.00390142,-0.00395799
-14.5,-0.00568207,0.00588338,0.00179901,-0.00186561
-15.0,-0.00292827,0.00341426,0.00191863,-0.00198684
-15.5,-0.00239001,0.00288582,-0.00116292,0.00121980
-16.0,-0.00060012,0.00102500,-0.00236885,0.00220513
-16.5,-0.00152764,0.00190547,-0.00342624,0.00325741
-17.0,-0.00356484,0.00392919,0.00069133,-0.00094167
-17.5,-0.00271975,0.00325255,0.00185724,-0.00187510
-18.0,-0.00369327,0.00413779,0.00201611,-0.00220571
-18.5,-0.00456883,0.00501922,0.00216255,-0.00228085
-19.0,-0.00705425,0.00759022,0.00342434,-0.00350309
-19.5,-0.00802570,0.00819885,0.00042147,-0.00067390
-20.0,-0.00769539,0.00840549,0.00300356,-0.00314023
