RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E12
Borehole,IN-15
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),07/31/2023,10:49:15
Depth,-20.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.02526935,-0.02515235,-0.00398181,0.00398641
-1.0,0.02112790,-0.02026104,-0.00476158,0.00477551
-1.5,0.01317312,-0.01266699,-0.00650663,0.00641010
-2.0,0.00708611,-0.00681972,-0.00736930,0.00737926
-2.5,0.00394235,-0.00321103,-0.00520451,0.00528670
-3.0,0.00242365,-0.00188145,-0.00026340,0.00045055
-3.5,0.00313660,-0.00254136,0.00358453,-0.00342087
-4.0,-0.00065413,0.00136474,0.00121023,-0.00123730
-4.5,-0.00420806,0.00460461,-0.00069600,0.00046719
-5.0,-0.00734367,0.00807541,0.00211474,-0.00195406
-5.5,-0.00470337,0.00491790,0.00076193,-0.00090640
-6.0,-0.00193294,0.00241682,-0.00042562,0.00044148
-6.5,-0.00360641,0.00411438,0.00501119,-0.00486955
-7.0,-0.00389577,0.00436402,0.00537336,-0.00542469
-7.5,-0.00120465,0.00158319,0.00368628,-0.00389106
-8.0,0.00214331,-0.00146992,0.00571726,-0.00559386
-8.5,0.00267421,-0.00242137,0.00588373,-0.00608319
-9.0,0.00202158,-0.00138430,0.00517643,-0.00540492
-9.5,0.00098468,-0.00073439,-0.00328269,0.00297637
-10.0,-0.00105411,0.00187079,-0.00423624,0.00436040
-10.5,-0.00318215,0.00346610,-0.00209037,0.00224174
-11.0,-0.00688779,0.00744915,0.00203481,-0.00187702
-11.5,-0.00683696,0.00735342,-0.00077946,0.00067140
-12.0,-0.00527102,0.00563165,-0.00159034,0.00153875
-12.5,-0.00699011,0.00737204,-0.00031830,0.00021226
-13.0,-0.00564696,0.00622634,0.00281549,-0.00318133
-13.5,-0.00643271,0.00685405,0.00559832,-0.00554371
-14.0,-0.00735015,0.00802780,0.00389828,-0.00393927
-14.5,-0.00561700,0.00588307,0.00168300,-0.00182523
-15.0,-0.00292407,0.00343941,0.00191904,-0.00197850
-15.5,-0.00235435,0.00288370,-0.00118529,0.00128051
-16.0,-0.00057584,0.00106129,-0.00232185,0.00224227
-16.5,-0.00151655,0.00193777,-0.00339532,0.00326042
-17.0,-0.00353894,0.00394467,0.00073344,-0.00095924
-17.5,-0.00270279,0.00328134,0.00182819,-0.00187141
-18.0,-0.00369074,0.00416163,0.00208393,-0.00216625
-18.5,-0.00457533,0.00502629,0.00221920,-0.00229888
-19.0,-0.00707097,0.00761505,0.00342777,-0.00345771
-19.5,-0.00801574,0.00821877,0.00046494,-0.00058469
-20.0,-0.00771894,0.00846972,0.00304972,-0.00314458
