RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E 12
Borehole,IN 15
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),08/26/2023,10:35:38
Depth,-20.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.02536826,-0.02509824,-0.00366670,0.00355309
-1.0,0.02106734,-0.02022563,-0.00490961,0.00459403
-1.5,0.01223232,-0.01182318,-0.00681600,0.00678546
-2.0,0.00669137,-0.00640689,-0.00731761,0.00733627
-2.5,0.00396656,-0.00325645,-0.00525149,0.00521730
-3.0,0.00241145,-0.00196559,0.00034880,-0.00048702
-3.5,0.00310259,-0.00253736,0.00356373,-0.00353421
-4.0,-0.00071196,0.00132886,0.00118112,-0.00125507
-4.5,-0.00420128,0.00459892,-0.00066049,0.00050466
-5.0,-0.00736406,0.00810722,0.00218322,-0.00218206
-5.5,-0.00445618,0.00468310,0.00054305,-0.00075005
-6.0,-0.00186665,0.00236790,-0.00043812,0.00025726
-6.5,-0.00352001,0.00401142,0.00500711,-0.00511955
-7.0,-0.00374609,0.00423620,0.00530812,-0.00539265
-7.5,-0.00098896,0.00134352,0.00359576,-0.00381036
-8.0,0.00231055,-0.00162365,0.00579162,-0.00571448
-8.5,0.00281982,-0.00260294,0.00581248,-0.00599729
-9.0,0.00212260,-0.00154536,0.00502817,-0.00527714
-9.5,0.00106636,-0.00076266,-0.00344243,0.00313198
-10.0,-0.00102033,0.00178805,-0.00425065,0.00433773
-10.5,-0.00313331,0.00348965,-0.00200927,0.00205452
-11.0,-0.00698460,0.00746940,0.00194284,-0.00194745
-11.5,-0.00661455,0.00717017,-0.00088406,0.00073908
-12.0,-0.00528111,0.00567927,-0.00160713,0.00144133
-12.5,-0.00695050,0.00736625,-0.00033823,0.00019261
-13.0,-0.00563394,0.00616684,0.00303482,-0.00330169
-13.5,-0.00645041,0.00687760,0.00555018,-0.00553507
-14.0,-0.00740081,0.00803429,0.00397006,-0.00397067
-14.5,-0.00538825,0.00579318,0.00172347,-0.00173356
-15.0,-0.00297191,0.00339844,0.00188005,-0.00200997
-15.5,-0.00227912,0.00277445,-0.00135014,0.00133749
-16.0,-0.00057492,0.00103154,-0.00243612,0.00227571
-16.5,-0.00153659,0.00198966,-0.00332371,0.00322933
-17.0,-0.00353783,0.00394661,0.00080878,-0.00103171
-17.5,-0.00269726,0.00326473,0.00187329,-0.00189141
-18.0,-0.00369707,0.00421626,0.00209148,-0.00217721
-18.5,-0.00458861,0.00501312,0.00224232,-0.00233906
-19.0,-0.00712012,0.00770687,0.00340557,-0.00341378
-19.5,-0.00798339,0.00822931,0.00036938,-0.00062602
-20.0,-0.00774368,0.00849420,0.00326011,-0.00329097

