RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E-12
Borehole,IN-E12-15
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),09/20/2023,10:47:13
Depth,-20.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.02433430,-0.02413044,-0.00162790,0.00372321
-1.0,0.02102503,-0.01989924,-0.00445754,0.00462982
-1.5,0.01177086,-0.01112015,-0.00695477,0.00700771
-2.0,0.00646760,-0.00598248,-0.00713729,0.00735596
-2.5,0.00403528,-0.00307429,-0.00516773,0.00537230
-3.0,0.00258440,-0.00191654,0.00115052,-0.00099881
-3.5,0.00317998,-0.00240137,0.00364111,-0.00347153
-4.0,-0.00065677,0.00139394,0.00126150,-0.00121512
-4.5,-0.00410458,0.00470874,-0.00051787,0.00054047
-5.0,-0.00728477,0.00819333,0.00230749,-0.00206363
-5.5,-0.00439371,0.00481510,0.00080662,-0.00067292
-6.0,-0.00177287,0.00246134,-0.00029387,0.00032792
-6.5,-0.00341334,0.00407187,0.00514957,-0.00494056
-7.0,-0.00361857,0.00429045,0.00544581,-0.00535684
-7.5,-0.00088227,0.00140943,0.00371945,-0.00380105
-8.0,0.00240254,-0.00155212,0.00587282,-0.00567767
-8.5,0.00293309,-0.00253049,0.00599216,-0.00597211
-9.0,0.00226119,-0.00148234,0.00517839,-0.00522539
-9.5,0.00114531,-0.00069683,-0.00328994,0.00319619
-10.0,-0.00085513,0.00183887,-0.00411196,0.00436445
-10.5,-0.00293473,0.00346499,-0.00190286,0.00221561
-11.0,-0.00679925,0.00747476,0.00212423,-0.00191450
-11.5,-0.00650596,0.00726764,-0.00073872,0.00080276
-12.0,-0.00512559,0.00570203,-0.00148595,0.00151322
-12.5,-0.00680303,0.00739620,-0.00021204,0.00024842
-13.0,-0.00554080,0.00623026,0.00304735,-0.00324367
-13.5,-0.00631795,0.00692485,0.00565286,-0.00545600
-14.0,-0.00724936,0.00808551,0.00402843,-0.00394635
-14.5,-0.00533893,0.00590490,0.00182762,-0.00172264
-15.0,-0.00282722,0.00347500,0.00200747,-0.00196888
-15.5,-0.00220155,0.00290888,-0.00115557,0.00137883
-16.0,-0.00048270,0.00112363,-0.00223307,0.00232606
-16.5,-0.00143570,0.00206503,-0.00328626,0.00332677
-17.0,-0.00344016,0.00402784,0.00089345,-0.00092213
-17.5,-0.00258623,0.00334649,0.00195148,-0.00178490
-18.0,-0.00359337,0.00427427,0.00215224,-0.00208212
-18.5,-0.00448585,0.00512366,0.00231355,-0.00223181
-19.0,-0.00702308,0.00778147,0.00349965,-0.00334019
-19.5,-0.00791651,0.00829400,0.00041959,-0.00056024
-20.0,-0.00766354,0.00858308,0.00334415,-0.00320515
