RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E-12
Borehole,IN-E12-15
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),09/22/2023,10:44:04
Depth,-20.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.02437676,-0.02409324,-0.00340957,0.00384396
-1.0,0.02082752,-0.01991882,-0.00481543,0.00471888
-1.5,0.01175274,-0.01115382,-0.00698533,0.00698400
-2.0,0.00644426,-0.00599924,-0.00712063,0.00732718
-2.5,0.00403974,-0.00310638,-0.00517625,0.00532038
-3.0,0.00256707,-0.00195014,0.00109573,-0.00093649
-3.5,0.00317736,-0.00244290,0.00361799,-0.00346523
-4.0,-0.00067213,0.00137864,0.00122693,-0.00124724
-4.5,-0.00414679,0.00469356,-0.00057026,0.00054668
-5.0,-0.00728248,0.00817148,0.00227509,-0.00205267
-5.5,-0.00443354,0.00480177,0.00079176,-0.00075595
-6.0,-0.00177790,0.00242152,-0.00031704,0.00044973
-6.5,-0.00341298,0.00403062,0.00512628,-0.00492361
-7.0,-0.00362509,0.00424894,0.00545837,-0.00538170
-7.5,-0.00089727,0.00138714,0.00371378,-0.00378694
-8.0,0.00239045,-0.00159473,0.00585180,-0.00566516
-8.5,0.00292892,-0.00255714,0.00599209,-0.00598232
-9.0,0.00224459,-0.00147893,0.00517800,-0.00527731
-9.5,0.00111923,-0.00072714,-0.00328450,0.00307926
-10.0,-0.00088759,0.00182761,-0.00410216,0.00432561
-10.5,-0.00297189,0.00343559,-0.00191510,0.00225852
-11.0,-0.00678136,0.00740247,0.00217277,-0.00195396
-11.5,-0.00659882,0.00726265,-0.00077013,0.00081003
-12.0,-0.00513562,0.00564489,-0.00153885,0.00158024
-12.5,-0.00682222,0.00736172,-0.00026602,0.00024436
-13.0,-0.00553934,0.00620752,0.00295816,-0.00317644
-13.5,-0.00631408,0.00687285,0.00562794,-0.00542121
-14.0,-0.00724579,0.00803994,0.00398379,-0.00395417
-14.5,-0.00541225,0.00590108,0.00180045,-0.00177965
-15.0,-0.00284801,0.00345040,0.00201036,-0.00195043
-15.5,-0.00227773,0.00291468,-0.00113067,0.00134733
-16.0,-0.00052532,0.00111992,-0.00225859,0.00232723
-16.5,-0.00147021,0.00202338,-0.00333412,0.00335504
-17.0,-0.00347611,0.00398962,0.00077890,-0.00085117
-17.5,-0.00261140,0.00332811,0.00191708,-0.00175518
-18.0,-0.00360464,0.00423162,0.00211495,-0.00205029
-18.5,-0.00450271,0.00509204,0.00223347,-0.00218624
-19.0,-0.00700842,0.00771512,0.00347317,-0.00340009
-19.5,-0.00799831,0.00828327,0.00046951,-0.00049365
-20.0,-0.00765309,0.00857127,0.00317357,-0.00314422
