RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E 12
Borehole,IN 15
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),10/02/2023,22:24:11
Depth,-20.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.02440142,-0.02408745,-0.00278536,0.00341943
-1.0,0.02089309,-0.01987235,-0.00456740,0.00469835
-1.5,0.01176328,-0.01113671,-0.00695491,0.00700161
-2.0,0.00641620,-0.00598996,-0.00706561,0.00734220
-2.5,0.00403540,-0.00311132,-0.00517991,0.00536530
-3.0,0.00256667,-0.00195544,0.00115779,-0.00092725
-3.5,0.00316111,-0.00245190,0.00368077,-0.00344841
-4.0,-0.00067170,0.00135935,0.00127942,-0.00121957
-4.5,-0.00414597,0.00468200,-0.00052317,0.00056971
-5.0,-0.00729988,0.00816094,0.00229484,-0.00205331
-5.5,-0.00444457,0.00480471,0.00081924,-0.00072547
-6.0,-0.00178870,0.00243199,-0.00026903,0.00044110
-6.5,-0.00342479,0.00404820,0.00511104,-0.00491026
-7.0,-0.00363476,0.00426574,0.00546551,-0.00533403
-7.5,-0.00090631,0.00138969,0.00375538,-0.00376941
-8.0,0.00239078,-0.00157761,0.00586304,-0.00565738
-8.5,0.00292345,-0.00254354,0.00602438,-0.00597500
-9.0,0.00224965,-0.00148511,0.00522585,-0.00525181
-9.5,0.00112394,-0.00073023,-0.00326972,0.00313173
-10.0,-0.00088511,0.00182226,-0.00405978,0.00434701
-10.5,-0.00295809,0.00342397,-0.00189895,0.00225682
-11.0,-0.00676586,0.00739957,0.00216214,-0.00194360
-11.5,-0.00659939,0.00723987,-0.00073292,0.00082060
-12.0,-0.00514126,0.00564232,-0.00154431,0.00152873
-12.5,-0.00684075,0.00735321,-0.00025886,0.00024345
-13.0,-0.00555302,0.00620717,0.00299071,-0.00316966
-13.5,-0.00632541,0.00688052,0.00563200,-0.00541782
-14.0,-0.00724825,0.00804931,0.00396512,-0.00391879
-14.5,-0.00543252,0.00590390,0.00180937,-0.00172734
-15.0,-0.00283689,0.00345407,0.00205702,-0.00192324
-15.5,-0.00225274,0.00290859,-0.00109726,0.00139294
-16.0,-0.00051250,0.00111685,-0.00225643,0.00234914
-16.5,-0.00144813,0.00202656,-0.00329725,0.00339014
-17.0,-0.00345345,0.00400538,0.00084204,-0.00084209
-17.5,-0.00260670,0.00332930,0.00192496,-0.00175253
-18.0,-0.00361199,0.00422986,0.00214053,-0.00205688
-18.5,-0.00449902,0.00508284,0.00229620,-0.00220987
-19.0,-0.00702323,0.00770991,0.00352761,-0.00334070
-19.5,-0.00793386,0.00827404,0.00061786,-0.00061642
-20.0,-0.00766152,0.00849563,0.00319902,-0.00313824
