RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E 12
Borehole,IN 15
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),10/03/2023,13:39:49
Depth,-20.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.02439230,-0.02410504,-0.00262119,0.00353859
-1.0,0.02090849,-0.01988665,-0.00455510,0.00468853
-1.5,0.01175602,-0.01113907,-0.00694908,0.00700861
-2.0,0.00639807,-0.00598328,-0.00707069,0.00734559
-2.5,0.00401808,-0.00311320,-0.00517082,0.00537092
-3.0,0.00255383,-0.00195845,0.00117117,-0.00094271
-3.5,0.00314673,-0.00245053,0.00368047,-0.00344733
-4.0,-0.00068848,0.00136002,0.00128197,-0.00120981
-4.5,-0.00415575,0.00468064,-0.00051756,0.00057027
-5.0,-0.00731795,0.00816028,0.00230949,-0.00205136
-5.5,-0.00444795,0.00479600,0.00081894,-0.00070636
-6.0,-0.00180424,0.00242910,-0.00026464,0.00041838
-6.5,-0.00344048,0.00404341,0.00513357,-0.00491534
-7.0,-0.00364855,0.00426233,0.00546872,-0.00533548
-7.5,-0.00091536,0.00138176,0.00374935,-0.00376761
-8.0,0.00237715,-0.00158353,0.00587703,-0.00565392
-8.5,0.00290885,-0.00255355,0.00602639,-0.00596818
-9.0,0.00223505,-0.00149555,0.00521630,-0.00523932
-9.5,0.00111138,-0.00073235,-0.00326929,0.00314951
-10.0,-0.00089182,0.00181100,-0.00406319,0.00435336
-10.5,-0.00296524,0.00342103,-0.00188960,0.00225209
-11.0,-0.00678800,0.00739904,0.00216284,-0.00193691
-11.5,-0.00658115,0.00722317,-0.00073141,0.00082912
-12.0,-0.00514879,0.00563994,-0.00152326,0.00153141
-12.5,-0.00684227,0.00734666,-0.00023986,0.00024899
-13.0,-0.00556113,0.00619543,0.00301552,-0.00318246
-13.5,-0.00633831,0.00687594,0.00564033,-0.00541076
-14.0,-0.00726461,0.00804433,0.00398649,-0.00391381
-14.5,-0.00541498,0.00588962,0.00181862,-0.00171490
-15.0,-0.00284968,0.00344509,0.00205023,-0.00192369
-15.5,-0.00225318,0.00289479,-0.00110976,0.00140043
-16.0,-0.00052036,0.00110472,-0.00224767,0.00235421
-16.5,-0.00146081,0.00202601,-0.00328500,0.00337925
-17.0,-0.00346486,0.00399810,0.00086345,-0.00085669
-17.5,-0.00261800,0.00331908,0.00193635,-0.00175414
-18.0,-0.00362437,0.00422829,0.00214992,-0.00205474
-18.5,-0.00451102,0.00507729,0.00230849,-0.00220848
-19.0,-0.00703750,0.00771555,0.00352821,-0.00332879
-19.5,-0.00794404,0.00826893,0.00056734,-0.00059199
-20.0,-0.00767990,0.00850237,0.00324660,-0.00315146
