RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E 12
Borehole,IN 15
Probe Serial#,23010000,Cal Date (m/d/y),12/09/2019
Reel Serial#,33290000
Reading Date(m/d/y),09/30/2024,11:28:03
Depth,-20.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.02450733,-0.02402620,-0.00384196,0.00294402
-1.0,0.02081347,-0.01982707,-0.00465828,0.00476178
-1.5,0.01179935,-0.01114028,-0.00697302,0.00698509
-2.0,0.00642695,-0.00600821,-0.00700750,0.00732348
-2.5,0.00402179,-0.00312700,-0.00521121,0.00534398
-3.0,0.00253587,-0.00196086,0.00113762,-0.00085483
-3.5,0.00314104,-0.00247846,0.00371165,-0.00344024
-4.0,-0.00065592,0.00133413,0.00128631,-0.00124992
-4.5,-0.00414955,0.00467029,-0.00053718,0.00058983
-5.0,-0.00728125,0.00814371,0.00224985,-0.00205744
-5.5,-0.00446542,0.00481580,0.00083264,-0.00081121
-6.0,-0.00176755,0.00242180,-0.00026203,0.00057505
-6.5,-0.00341258,0.00404209,0.00502731,-0.00487836
-7.0,-0.00363715,0.00426070,0.00547192,-0.00531675
-7.5,-0.00092018,0.00139524,0.00379896,-0.00375673
-8.0,0.00234863,-0.00158792,0.00582074,-0.00565865
-8.5,0.00290541,-0.00254456,0.00604838,-0.00599967
-9.0,0.00225732,-0.00147892,0.00526743,-0.00531314
-9.5,0.00117768,-0.00075206,-0.00326741,0.00303675
-10.0,-0.00087123,0.00182220,-0.00404325,0.00432529
-10.5,-0.00291744,0.00341424,-0.00191903,0.00230269
-11.0,-0.00661763,0.00736166,0.00219688,-0.00199287
-11.5,-0.00675186,0.00725628,-0.00073089,0.00080563
-12.0,-0.00509796,0.00561596,-0.00166252,0.00153457
-12.5,-0.00685942,0.00734143,-0.00036081,0.00022261
-13.0,-0.00558087,0.00621775,0.00285676,-0.00306195
-13.5,-0.00626718,0.00686556,0.00558864,-0.00540747
-14.0,-0.00727472,0.00803953,0.00384123,-0.00391183
-14.5,-0.00528765,0.00593265,0.00176068,-0.00177154
-15.0,-0.00022933,0.00346628,0.00227177,-0.00177771
-15.5,0.00010254,0.00297875,-0.00077476,0.00137763
-16.0,0.00049959,0.00117501,-0.00241368,0.00238599
-16.5,-0.00104930,0.00194263,-0.00343707,0.00369967
-17.0,-0.00267038,0.00400293,0.00048510,-0.00044422
-17.5,-0.00253848,0.00335512,0.00176102,-0.00164070
-18.0,-0.00285247,0.00412251,0.00201529,-0.00198382
-18.5,-0.00405860,0.00503093,0.00214384,-0.00214892
-19.0,-0.00586255,0.00750839,0.00361635,-0.00344068
-19.5,-0.00753754,0.00826019,0.00177967,-0.00103714
-20.0,-0.00756477,0.00835072,0.00277055,-0.00297717
