RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E12
Borehole,IN-E12-27
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),07/27/2023,12:11:58
Depth,-19.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.00620852,0.00660722,0.01199446,-0.01182422
-1.0,-0.00330690,0.00380188,0.01000799,-0.00987818
-1.5,-0.00059337,0.00099823,0.00738183,-0.00723390
-2.0,0.00560298,-0.00518945,0.00663257,-0.00679123
-2.5,0.01065108,-0.01011408,0.00633993,-0.00618354
-3.0,0.01195610,-0.01141985,-0.00038866,0.00065996
-3.5,0.00920836,-0.00881624,-0.00417372,0.00419133
-4.0,0.00813037,-0.00764192,-0.00376958,0.00363767
-4.5,0.00575097,-0.00537363,-0.00081070,0.00081033
-5.0,0.00241239,-0.00188710,-0.00143797,0.00168763
-5.5,-0.00111738,0.00153203,-0.00080731,0.00079423
-6.0,-0.00265240,0.00309966,0.00028620,-0.00019214
-6.5,-0.00242413,0.00294233,-0.00139656,0.00145193
-7.0,-0.00330804,0.00368746,-0.00472017,0.00485786
-7.5,-0.00340622,0.00387764,-0.00524848,0.00517264
-8.0,-0.00494664,0.00553751,-0.00256902,0.00237536
-8.5,-0.00769775,0.00793151,0.00064725,-0.00072219
-9.0,-0.00456023,0.00506333,0.00352253,-0.00359813
-9.5,-0.00437550,0.00485399,0.00497599,-0.00486253
-10.0,-0.00487230,0.00527927,0.00350018,-0.00338493
-10.5,-0.00332204,0.00385870,0.00216351,-0.00218048
-11.0,-0.00122849,0.00171099,0.00124482,-0.00120913
-11.5,-0.00156215,0.00198495,0.00102550,-0.00111666
-12.0,-0.00184345,0.00229052,-0.00088455,0.00097903
-12.5,-0.00180928,0.00233451,-0.00046076,0.00040826
-13.0,-0.00031451,0.00069622,0.00019157,0.00000492
-13.5,0.00156516,-0.00099458,-0.00204896,0.00194239
-14.0,0.00370509,-0.00314259,-0.00514795,0.00520285
-14.5,0.00354260,-0.00337522,-0.00221930,0.00235171
-15.0,0.00100740,-0.00052466,-0.00202412,0.00204988
-15.5,0.00010858,0.00052771,-0.00657794,0.00655845
-16.0,-0.00162767,0.00204069,-0.00516516,0.00539864
-16.5,-0.00198129,0.00232807,0.00097749,-0.00073679
-17.0,-0.00132411,0.00186879,0.00354768,-0.00356291
-17.5,-0.00677995,0.00727900,0.00179350,-0.00183065
-18.0,-0.00832419,0.00868726,-0.00077249,0.00094260
-18.5,-0.01052943,0.01111013,-0.00338458,0.00355819
-19.0,-0.00552976,0.00599806,0.00246449,-0.00266362
-19.5,-0.00468206,-0.00042854,0.00098505,0.00556289
