RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E12
Borehole,In-27
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),08/05/2023,13:35:49
Depth,-19.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.00603374,0.00642765,0.01193012,-0.01192684
-1.0,-0.00339866,0.00379609,0.00999703,-0.00993373
-1.5,-0.00047435,0.00080505,0.00722186,-0.00713318
-2.0,0.00559503,-0.00526843,0.00655066,-0.00676315
-2.5,0.01061693,-0.01013076,0.00623316,-0.00616797
-3.0,0.01178100,-0.01131892,-0.00111275,0.00122807
-3.5,0.00913663,-0.00884586,-0.00423223,0.00423683
-4.0,0.00807981,-0.00767138,-0.00380446,0.00368270
-4.5,0.00570617,-0.00538884,-0.00085107,0.00079876
-5.0,0.00236101,-0.00190330,-0.00151116,0.00168442
-5.5,-0.00121423,0.00154856,-0.00087935,0.00081372
-6.0,-0.00273131,0.00310270,0.00024283,-0.00020738
-6.5,-0.00245685,0.00291663,-0.00140954,0.00144295
-7.0,-0.00338727,0.00367889,-0.00471931,0.00486382
-7.5,-0.00350264,0.00385683,-0.00528313,0.00517019
-8.0,-0.00497943,0.00547141,-0.00260001,0.00243535
-8.5,-0.00771916,0.00787110,0.00065389,-0.00071155
-9.0,-0.00456432,0.00499349,0.00352364,-0.00356898
-9.5,-0.00437891,0.00476991,0.00495945,-0.00484602
-10.0,-0.00486992,0.00519606,0.00348215,-0.00337587
-10.5,-0.00332213,0.00377320,0.00212826,-0.00215029
-11.0,-0.00121088,0.00161709,0.00123072,-0.00121265
-11.5,-0.00155503,0.00190196,0.00105581,-0.00116253
-12.0,-0.00182609,0.00220450,-0.00087855,0.00091996
-12.5,-0.00178175,0.00227457,-0.00045797,0.00038176
-13.0,-0.00030165,0.00065101,0.00020029,-0.00002540
-13.5,0.00155600,-0.00101830,-0.00201767,0.00191185
-14.0,0.00367546,-0.00317978,-0.00514517,0.00520443
-14.5,0.00352128,-0.00339803,-0.00227804,0.00235373
-15.0,0.00099923,-0.00055982,-0.00202921,0.00201325
-15.5,0.00008553,0.00051967,-0.00657556,0.00653824
-16.0,-0.00167200,0.00201876,-0.00524667,0.00540415
-16.5,-0.00200365,0.00234443,0.00093489,-0.00079203
-17.0,-0.00133890,0.00183006,0.00354875,-0.00357169
-17.5,-0.00679320,0.00722457,0.00184583,-0.00185521
-18.0,-0.00833465,0.00863277,-0.00078053,0.00095563
-18.5,-0.01060569,0.01110171,-0.00342874,0.00356293
-19.0,-0.00571484,0.00607873,0.00237362,-0.00253112
-19.5,-0.00469354,0.00516032,0.00114990,-0.00103216
