RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E 12
Borehole,IN 27
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),08/26/2023,11:02:11
Depth,-19.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.00612468,0.00645007,0.01192373,-0.01190567
-1.0,-0.00336861,0.00388501,0.01005925,-0.01005917
-1.5,0.00030935,0.00016309,0.00697112,-0.00681089
-2.0,0.00593652,-0.00561055,0.00683400,-0.00684245
-2.5,0.01070037,-0.01015039,0.00620708,-0.00631299
-3.0,0.01157623,-0.01108232,-0.00156237,0.00166141
-3.5,0.00917094,-0.00874318,-0.00415690,0.00409915
-4.0,0.00812293,-0.00760673,-0.00374885,0.00355981
-4.5,0.00575476,-0.00531115,-0.00077484,0.00070011
-5.0,0.00241890,-0.00188590,-0.00141461,0.00155395
-5.5,-0.00113160,0.00158354,-0.00079649,0.00076560
-6.0,-0.00260335,0.00306445,0.00026351,-0.00027441
-6.5,-0.00238432,0.00294292,-0.00140322,0.00141126
-7.0,-0.00326931,0.00373404,-0.00479303,0.00484712
-7.5,-0.00334415,0.00384776,-0.00520001,0.00507126
-8.0,-0.00495697,0.00554469,-0.00241605,0.00228063
-8.5,-0.00757589,0.00786254,0.00074742,-0.00078439
-9.0,-0.00441361,0.00495663,0.00361747,-0.00362610
-9.5,-0.00429604,0.00479503,0.00495428,-0.00502173
-10.0,-0.00474672,0.00516229,0.00346531,-0.00343657
-10.5,-0.00318082,0.00373418,0.00218268,-0.00222071
-11.0,-0.00107000,0.00162365,0.00121881,-0.00126278
-11.5,-0.00146989,0.00190907,0.00098197,-0.00107838
-12.0,-0.00173092,0.00223439,-0.00092748,0.00089816
-12.5,-0.00171484,0.00226685,-0.00049142,0.00031941
-13.0,-0.00022644,0.00066271,0.00012943,-0.00004489
-13.5,0.00161261,-0.00103750,-0.00217996,0.00191548
-14.0,0.00374800,-0.00313586,-0.00523929,0.00522152
-14.5,0.00356794,-0.00336898,-0.00222833,0.00225796
-15.0,0.00097611,-0.00044323,-0.00221206,0.00206374
-15.5,0.00012130,0.00058093,-0.00671125,0.00665707
-16.0,-0.00163427,0.00209777,-0.00520736,0.00522100
-16.5,-0.00198297,0.00233377,0.00098326,-0.00093278
-17.0,-0.00131572,0.00196926,0.00348511,-0.00360867
-17.5,-0.00676349,0.00730011,0.00177457,-0.00185054
-18.0,-0.00838388,0.00876790,-0.00086453,0.00090658
-18.5,-0.01052842,0.01113048,-0.00337049,0.00345095
-19.0,-0.00539250,0.00591671,0.00258035,-0.00273515
-19.5,-0.00473307,0.00536153,0.00079789,-0.00085545
