RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E-12
Borehole,IN-27
Probe Serial#,24000000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33310000
Reading Date(m/d/y),12/30/2023,9:27:12
Depth,-19.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.00578006,0.00642249,0.01210365,-0.01185616
-1.0,-0.00312762,0.00391032,0.01023120,-0.00992449
-1.5,0.00134960,-0.00024725,0.00672604,-0.00658362
-2.0,0.00643732,-0.00584988,0.00684740,-0.00677865
-2.5,0.01077906,-0.01015256,0.00626506,-0.00588887
-3.0,0.01130199,-0.01063935,-0.00223665,0.00227047
-3.5,0.00928022,-0.00862339,-0.00419777,0.00440622
-4.0,0.00819355,-0.00748793,-0.00361421,0.00354709
-4.5,0.00583025,-0.00516545,-0.00073335,0.00088341
-5.0,0.00243696,-0.00175125,-0.00136225,0.00185529
-5.5,-0.00111412,0.00174068,-0.00061829,0.00069088
-6.0,-0.00251988,0.00317600,0.00047468,-0.00012923
-6.5,-0.00232390,0.00307982,-0.00121545,0.00129040
-7.0,-0.00325011,0.00381259,-0.00451134,0.00518195
-7.5,-0.00332899,0.00397758,-0.00484615,0.00510839
-8.0,-0.00486637,0.00565004,-0.00218578,0.00236583
-8.5,-0.00751636,0.00800414,0.00071531,-0.00069675
-9.0,-0.00391621,0.00502807,0.00337330,-0.00368323
-9.5,-0.00409355,0.00490362,0.00522695,-0.00448383
-10.0,-0.00455493,0.00520567,0.00360296,-0.00319394
-10.5,-0.00305292,0.00386806,0.00227921,-0.00221265
-11.0,-0.00092822,0.00162223,0.00119755,-0.00109429
-11.5,-0.00120261,0.00183647,0.00088636,-0.00089549
-12.0,-0.00140076,0.00213346,-0.00084276,0.00128735
-12.5,-0.00132552,0.00217816,-0.00055301,0.00051999
-13.0,0.00001639,0.00063857,0.00029724,0.00037365
-13.5,0.00182190,-0.00102698,-0.00246119,0.00257546
-14.0,0.00422713,-0.00311687,-0.00511246,0.00532550
-14.5,0.00371752,-0.00335654,-0.00138710,0.00239519
-15.0,0.00154020,-0.00050402,-0.00220876,0.00245310
-15.5,0.00013205,0.00060728,-0.00670002,0.00674646
-16.0,-0.00077216,0.00207890,-0.00445926,0.00453230
-16.5,-0.00095108,0.00249673,0.00118033,-0.00091682
-17.0,-0.00082681,0.00196132,0.00359637,-0.00345719
-17.5,-0.00654955,0.00739674,0.00180334,-0.00059039
-18.0,-0.00782038,0.00876815,-0.00148961,0.00112688
-18.5,-0.01035383,0.01106635,-0.00319831,0.00378278
-19.0,-0.00535370,0.00623092,0.00230237,-0.00324597
-19.5,-0.00455048,0.00537593,0.00060958,-0.00060995
