RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E-12
Borehole,IN-27
Probe Serial#,24000000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33310000
Reading Date(m/d/y),10/03/2024,11:42:02
Depth,-19.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.00606905,0.00644482,0.01203139,-0.01174276
-1.0,-0.00324465,0.00388397,0.01012273,-0.00992826
-1.5,0.00091886,-0.00015412,0.00677465,-0.00656712
-2.0,0.00635324,-0.00583089,0.00680335,-0.00677307
-2.5,0.01080568,-0.01011459,0.00614256,-0.00599983
-3.0,0.01130483,-0.01073952,-0.00222791,0.00226273
-3.5,0.00919414,-0.00865432,-0.00424458,0.00437634
-4.0,0.00811053,-0.00752857,-0.00369313,0.00362562
-4.5,0.00576604,-0.00520188,-0.00076311,0.00076587
-5.0,0.00238948,-0.00181056,-0.00147116,0.00174406
-5.5,-0.00115890,0.00171687,-0.00076139,0.00078755
-6.0,-0.00259249,0.00312657,0.00032513,-0.00016142
-6.5,-0.00235329,0.00303953,-0.00129711,0.00149018
-7.0,-0.00328140,0.00382037,-0.00468315,0.00504422
-7.5,-0.00333516,0.00394320,-0.00512719,0.00516713
-8.0,-0.00493353,0.00559430,-0.00233127,0.00238298
-8.5,-0.00742614,0.00795954,0.00079656,-0.00071416
-9.0,-0.00433220,0.00501147,0.00353110,-0.00359477
-9.5,-0.00423724,0.00482325,0.00510262,-0.00475035
-10.0,-0.00467781,0.00517293,0.00356149,-0.00326322
-10.5,-0.00314566,0.00377542,0.00226712,-0.00219295
-11.0,-0.00101689,0.00157992,0.00128858,-0.00112872
-11.5,-0.00130364,0.00180418,0.00096863,-0.00096873
-12.0,-0.00151899,0.00211194,-0.00084078,0.00116716
-12.5,-0.00148765,0.00215845,-0.00049376,0.00045685
-13.0,0.00001540,0.00063805,0.00026991,0.00022072
-13.5,0.00154096,-0.00102469,-0.00259972,0.00274293
-14.0,0.00422634,-0.00311529,-0.00513197,0.00535035
-14.5,0.00394391,-0.00339444,-0.00116256,0.00242131
-15.0,0.00153975,-0.00050381,-0.00225834,0.00256559
-15.5,0.00008965,0.00059095,-0.00674910,0.00677904
-16.0,-0.00077382,0.00208001,-0.00427557,0.00431860
-16.5,-0.00032963,0.00250983,0.00125786,-0.00096173
-17.0,-0.00039437,0.00193968,0.00361476,-0.00344393
-17.5,-0.00644394,0.00739578,0.00173358,0.00005236
-18.0,-0.00745246,0.00876651,-0.00177770,0.00116836
-18.5,-0.01003210,0.01098389,-0.00315408,0.00381340
-19.0,-0.00525585,0.00626010,0.00218501,-0.00355824
-19.5,-0.00439674,0.00541872,0.00033611,-0.00047586
