RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E-12
Borehole,IN-E12-27
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),07/17/2023,09:31:01
Depth,-19.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.00619064,0.00657682,0.01212061,-0.01201070
-1.0,-0.00334391,0.00380456,0.00993159,-0.00982229
-1.5,-0.00064549,0.00113463,0.00734434,-0.00718185
-2.0,0.00550841,-0.00510075,0.00667781,-0.00676325
-2.5,0.01062970,-0.01011839,0.00627694,-0.00621526
-3.0,0.01201703,-0.01148607,-0.00026976,0.00042551
-3.5,0.00913066,-0.00876318,-0.00419049,0.00416425
-4.0,0.00804590,-0.00759197,-0.00382707,0.00366301
-4.5,0.00563559,-0.00526606,-0.00085368,0.00080593
-5.0,0.00227084,-0.00176182,-0.00145402,0.00167409
-5.5,-0.00129679,0.00167362,-0.00083221,0.00084462
-6.0,-0.00282467,0.00325771,0.00024211,-0.00018063
-6.5,-0.00260134,0.00312520,-0.00143167,0.00147084
-7.0,-0.00351472,0.00389560,-0.00482093,0.00488300
-7.5,-0.00361900,0.00406712,-0.00532704,0.00517782
-8.0,-0.00517479,0.00573566,-0.00253242,0.00240941
-8.5,-0.00787363,0.00809335,0.00064523,-0.00068833
-9.0,-0.00471993,0.00519057,0.00348824,-0.00354621
-9.5,-0.00455614,0.00498721,0.00489175,-0.00483782
-10.0,-0.00501748,0.00538201,0.00341571,-0.00334321
-10.5,-0.00345851,0.00394383,0.00211898,-0.00213238
-11.0,-0.00132386,0.00177194,0.00121647,-0.00111958
-11.5,-0.00165875,0.00204113,0.00095397,-0.00100205
-12.0,-0.00190573,0.00232737,-0.00097218,0.00095073
-12.5,-0.00186197,0.00234944,-0.00053230,0.00042963
-13.0,-0.00033481,0.00070821,0.00013284,0.00007943
-13.5,0.00154920,-0.00099265,-0.00213582,0.00198267
-14.0,0.00367300,-0.00313775,-0.00523425,0.00530888
-14.5,0.00354847,-0.00336763,-0.00227630,0.00235584
-15.0,0.00097754,-0.00050879,-0.00208754,0.00206261
-15.5,0.00008200,0.00053687,-0.00664201,0.00670313
-16.0,-0.00165835,0.00204316,-0.00514602,0.00537635
-16.5,-0.00197687,0.00230149,0.00090217,-0.00079481
-17.0,-0.00133171,0.00186163,0.00347717,-0.00358067
-17.5,-0.00680699,0.00724543,0.00178374,-0.00184276
-18.0,-0.00838392,0.00868917,-0.00085872,0.00094403
-18.5,-0.01057182,0.01107494,-0.00341031,0.00348900
-19.0,-0.00550263,0.00592825,0.00251289,-0.00266446
-19.5,-0.00472479,0.00518577,0.00092377,-0.00091623
