RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E-12
Borehole,IN-E12-27
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),07/20/2023,11:20:11
Depth,-19.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.00628337,0.00656653,0.01198228,-0.01188652
-1.0,-0.00329538,0.00369593,0.00995518,-0.00984013
-1.5,-0.00049416,0.00079036,0.00728371,-0.00714229
-2.0,0.00551398,-0.00513499,0.00668354,-0.00681229
-2.5,0.01063048,-0.01013603,0.00629777,-0.00622488
-3.0,0.01194363,-0.01141425,-0.00062413,0.00084664
-3.5,0.00912354,-0.00880823,-0.00417331,0.00419883
-4.0,0.00805335,-0.00762671,-0.00382554,0.00365786
-4.5,0.00564771,-0.00531915,-0.00083831,0.00083671
-5.0,0.00227251,-0.00181589,-0.00148253,0.00168139
-5.5,-0.00129834,0.00163346,-0.00083107,0.00082921
-6.0,-0.00280368,0.00320468,0.00025261,-0.00017938
-6.5,-0.00256375,0.00306607,-0.00141126,0.00150948
-7.0,-0.00349038,0.00383492,-0.00480010,0.00493369
-7.5,-0.00359270,0.00401035,-0.00528946,0.00518867
-8.0,-0.00514401,0.00569625,-0.00255342,0.00233997
-8.5,-0.00786467,0.00805601,0.00064281,-0.00070264
-9.0,-0.00470711,0.00516417,0.00350681,-0.00356639
-9.5,-0.00454820,0.00494581,0.00490042,-0.00477673
-10.0,-0.00500741,0.00535693,0.00343974,-0.00330492
-10.5,-0.00344954,0.00393518,0.00212316,-0.00214489
-11.0,-0.00133911,0.00176932,0.00120766,-0.00112025
-11.5,-0.00167516,0.00205123,0.00098867,-0.00100701
-12.0,-0.00191943,0.00231912,-0.00095994,0.00102191
-12.5,-0.00187384,0.00233357,-0.00049726,0.00042954
-13.0,-0.00034714,0.00069047,0.00013664,0.00006719
-13.5,0.00153454,-0.00103575,-0.00211552,0.00204334
-14.0,0.00367242,-0.00315397,-0.00520017,0.00527072
-14.5,0.00351860,-0.00340301,-0.00222753,0.00230720
-15.0,0.00096258,-0.00052105,-0.00216283,0.00217073
-15.5,0.00007984,0.00051380,-0.00665413,0.00665054
-16.0,-0.00166461,0.00206562,-0.00508853,0.00533953
-16.5,-0.00200175,0.00228544,0.00096752,-0.00077517
-17.0,-0.00134587,0.00188789,0.00352985,-0.00351451
-17.5,-0.00684204,0.00724786,0.00174338,-0.00173538
-18.0,-0.00842619,0.00873230,-0.00092062,0.00098399
-18.5,-0.01057177,0.01107396,-0.00338037,0.00356639
-19.0,-0.00545602,0.00585688,0.00259977,-0.00276827
-19.5,-0.00468363,0.00526127,0.00110690,-0.00085753
