RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVOB
Borehole,P 102
Probe Serial#,23780000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33310000
Reading Date(m/d/y),01/17/2023,10:04:12
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03459598,0.03379378,0.01593669,-0.01608421
-1.0,-0.03157796,0.03128724,0.01726175,-0.01731452
-1.5,-0.03076987,0.03050370,0.01782434,-0.01794214
-2.0,-0.03565205,0.03528686,0.02328147,-0.02335590
-2.5,-0.04366484,0.04268937,0.02294737,-0.02295435
-3.0,-0.05228328,0.05234060,0.01776062,-0.01774302
-3.5,-0.01405584,0.01376136,0.00805929,-0.00813690
-4.0,0.00347145,-0.00379007,0.00027201,-0.00034048
-4.5,0.00633748,-0.00660582,-0.00518037,0.00517323
-5.0,0.00463712,-0.00504347,-0.01017894,0.01009710
-5.5,0.00254705,-0.00291094,-0.00883122,0.00873043
-6.0,0.00595377,-0.00609734,-0.00166344,0.00151642
-6.5,0.00425403,-0.00457309,0.00549123,-0.00545445
-7.0,-0.00216597,0.00183487,0.00382830,-0.00399425
-7.5,-0.00964369,0.00935857,0.00162291,-0.00160144
-8.0,-0.01317637,0.01283883,0.00239796,-0.00255451
-8.5,-0.01439019,0.01401434,0.00447777,-0.00450207
-9.0,-0.00617139,0.00579174,0.01076364,-0.01088967
-9.5,0.00079308,-0.00104411,0.00746192,-0.00750083
-10.0,0.00280694,-0.00310408,0.00484926,-0.00494301
-10.5,0.00350777,-0.00379901,0.00100466,-0.00107693
-11.0,0.00205073,-0.00229398,-0.00105872,0.00101023
-11.5,0.00074047,-0.00097608,0.00263221,-0.00270525
-12.0,0.00002937,-0.00039840,0.00392738,-0.00395109
-12.5,-0.00154122,0.00123124,0.00190542,-0.00204244
-13.0,-0.00246282,0.00209046,-0.00190196,0.00184269
-13.5,-0.00037435,0.00011651,-0.00544693,0.00534380
-14.0,0.00698507,-0.00738999,-0.00589813,0.00579674
-14.5,0.00986077,-0.01009448,-0.00465697,0.00464657
-15.0,0.00822840,-0.00877649,-0.00633923,0.00614400
-15.5,0.00807386,-0.00811130,-0.00053624,0.00072519
-16.0,0.00520455,-0.00548673,0.00055236,-0.00065245
-16.5,0.00353451,-0.00378107,-0.00029039,0.00028130
-17.0,-0.00069664,0.00030656,-0.00037430,0.00030876
-17.5,0.00179258,-0.00218008,-0.00249122,0.00246653
-18.0,0.00577279,-0.00595398,0.00072115,-0.00080613
-18.5,0.00422238,-0.00451910,0.00369463,-0.00366818
-19.0,0.00402405,-0.00442654,-0.00065787,0.00073056
-19.5,0.00808147,-0.00826918,-0.00109342,0.00107194
-20.0,0.00826396,-0.00846432,0.00085405,-0.00091137
-20.5,0.01018764,-0.01064340,0.00203791,-0.00207076
-21.0,0.00769761,-0.00773394,-0.00202513,0.00204021
-21.5,0.00912628,-0.00920899,-0.00235641,0.00244614
-22.0,0.00319753,-0.00347162,-0.00236156,0.00232156
-22.5,0.00076791,-0.00103488,-0.00348357,0.00354706
-23.0,-0.00009854,-0.00022310,-0.00804927,0.00789481
-23.5,0.00172405,-0.00216545,-0.00926407,0.00912807
