RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVOB
Borehole,P 102
Probe Serial#,23780000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33310000
Reading Date(m/d/y),02/03/2023,10:51:18
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03289453,0.03252458,0.01579261,-0.01686227
-1.0,-0.03144875,0.03108971,0.01713062,-0.01782236
-1.5,-0.03070635,0.03035191,0.01772354,-0.01842922
-2.0,-0.03557579,0.03508404,0.02314937,-0.02397062
-2.5,-0.04349994,0.04247674,0.02264162,-0.02350286
-3.0,-0.05237464,0.05203486,0.01726674,-0.01835287
-3.5,-0.01422871,0.01356791,0.00773826,-0.00846624
-4.0,0.00350116,-0.00395646,-0.00011398,-0.00068744
-4.5,0.00638250,-0.00673601,-0.00553044,0.00480406
-5.0,0.00466645,-0.00515808,-0.01052107,0.00971236
-5.5,0.00255381,-0.00299149,-0.00921504,0.00835114
-6.0,0.00612934,-0.00640904,-0.00145064,0.00056278
-6.5,0.00429690,-0.00466516,0.00508091,-0.00582019
-7.0,-0.00209929,0.00175732,0.00342894,-0.00432742
-7.5,-0.01012509,0.00976883,0.00104728,-0.00191573
-8.0,-0.01311764,0.01273298,0.00200835,-0.00296651
-8.5,-0.01438447,0.01399792,0.00415755,-0.00494093
-9.0,-0.00615080,0.00569403,0.01039860,-0.01127828
-9.5,0.00077927,-0.00111876,0.00698157,-0.00785391
-10.0,0.00277820,-0.00316737,0.00448267,-0.00529333
-10.5,0.00345487,-0.00386232,0.00063580,-0.00147958
-11.0,0.00197769,-0.00233470,-0.00142858,0.00067156
-11.5,0.00067387,-0.00104235,0.00232356,-0.00308666
-12.0,-0.00005451,-0.00046641,0.00361936,-0.00432614
-12.5,-0.00156965,0.00116173,0.00155156,-0.00240530
-13.0,-0.00252038,0.00201878,-0.00228249,0.00143619
-13.5,-0.00040902,0.00003988,-0.00582612,0.00495762
-14.0,0.00695053,-0.00743520,-0.00626980,0.00541507
-14.5,0.00981379,-0.01011310,-0.00507362,0.00430250
-15.0,0.00817192,-0.00879276,-0.00672124,0.00575320
-15.5,0.00805466,-0.00812195,-0.00089588,0.00026725
-16.0,0.00516596,-0.00552292,0.00012980,-0.00103117
-16.5,0.00346425,-0.00380371,-0.00067182,-0.00013917
-17.0,-0.00074715,0.00029236,-0.00068317,-0.00012164
-17.5,0.00172712,-0.00219521,-0.00293931,0.00207894
-18.0,0.00567987,-0.00597376,0.00039403,-0.00123513
-18.5,0.00418474,-0.00458485,0.00334585,-0.00405334
-19.0,0.00399681,-0.00450923,-0.00118056,0.00033189
-19.5,0.00803821,-0.00832246,-0.00142585,0.00067100
-20.0,0.00821075,-0.00853759,0.00046975,-0.00130550
-20.5,0.01015157,-0.01068064,0.00165496,-0.00243839
-21.0,0.00764807,-0.00775707,-0.00238168,0.00169979
-21.5,0.00907036,-0.00926026,-0.00282669,0.00203858
-22.0,0.00312858,-0.00353188,-0.00270274,0.00200968
-22.5,0.00071034,-0.00108050,-0.00388420,0.00315818
-23.0,-0.00018204,-0.00021156,-0.00835555,0.00759146
-23.5,0.00170268,-0.00202259,-0.00973495,0.00874551
