RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,Tvbosur
Borehole,P102
Probe Serial#,23780000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33310000
Reading Date(m/d/y),02/04/2023,12:48:51
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03451674,0.03409639,0.01546325,-0.01654968
-1.0,-0.03157037,0.03104813,0.01686266,-0.01775988
-1.5,-0.03074642,0.03029558,0.01763556,-0.01842584
-2.0,-0.03564080,0.03513611,0.02307418,-0.02407563
-2.5,-0.04364602,0.04253600,0.02260175,-0.02350111
-3.0,-0.05191597,0.05191631,0.01736369,-0.01843909
-3.5,-0.01405938,0.01349351,0.00760497,-0.00842795
-4.0,0.00354322,-0.00395169,-0.00018060,-0.00067665
-4.5,0.00635233,-0.00673237,-0.00564095,0.00488898
-5.0,0.00462433,-0.00514858,-0.01062873,0.00972558
-5.5,0.00252321,-0.00300414,-0.00922382,0.00832983
-6.0,0.00613854,-0.00648511,-0.00141101,0.00043133
-6.5,0.00424562,-0.00465464,0.00510656,-0.00581358
-7.0,-0.00217355,0.00169801,0.00346083,-0.00435473
-7.5,-0.01046034,0.01004523,0.00106382,-0.00193941
-8.0,-0.01310022,0.01270564,0.00210400,-0.00291304
-8.5,-0.01439016,0.01400285,0.00414074,-0.00499538
-9.0,-0.00610809,0.00560680,0.01045684,-0.01131831
-9.5,0.00088809,-0.00118928,0.00690606,-0.00779658
-10.0,0.00278901,-0.00318797,0.00440380,-0.00527724
-10.5,0.00346135,-0.00386560,0.00053356,-0.00141810
-11.0,0.00199698,-0.00232739,-0.00136334,0.00060019
-11.5,0.00070331,-0.00105617,0.00232122,-0.00309991
-12.0,-0.00001706,-0.00045547,0.00353025,-0.00440503
-12.5,-0.00154995,0.00115692,0.00152944,-0.00238908
-13.0,-0.00248331,0.00202375,-0.00227258,0.00147332
-13.5,-0.00043234,0.00004197,-0.00578151,0.00496016
-14.0,0.00692705,-0.00744367,-0.00626930,0.00541968
-14.5,0.00979799,-0.01014567,-0.00505099,0.00430312
-15.0,0.00827167,-0.00880221,-0.00668100,0.00580112
-15.5,0.00803204,-0.00809914,-0.00091728,0.00018041
-16.0,0.00515942,-0.00553096,0.00017617,-0.00101777
-16.5,0.00346646,-0.00381182,-0.00068960,-0.00009312
-17.0,-0.00078279,0.00027934,-0.00077850,-0.00008802
-17.5,0.00178542,-0.00223340,-0.00301448,0.00209669
-18.0,0.00567886,-0.00599772,0.00037563,-0.00118052
-18.5,0.00421075,-0.00456557,0.00327293,-0.00401644
-19.0,0.00395685,-0.00476813,-0.00100332,0.00012931
-19.5,0.00799172,-0.00833253,-0.00147881,0.00068755
-20.0,0.00813854,-0.00856277,0.00043523,-0.00133735
-20.5,0.01012256,-0.01067444,0.00162226,-0.00238779
-21.0,0.00571325,-0.01014608,-0.00266807,0.00148032
-21.5,0.00907339,-0.00925266,-0.00273395,0.00208269
-22.0,0.00313941,-0.00350948,-0.00270989,0.00198828
-22.5,0.00070463,-0.00106490,-0.00381308,0.00313337
-23.0,-0.00017880,-0.00023095,-0.00839462,0.00748466
-23.5,0.00174347,-0.03451674,-0.00966246,0.01546325
