RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVOB Sur 
Borehole,P102
Probe Serial#,23780000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33310000
Reading Date(m/d/y),02/20/2023,10:44:50
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03259919,0.03200145,0.01112886,-0.01166412
-1.0,-0.03135845,0.03097636,0.01646948,-0.01719699
-1.5,-0.03065581,0.03026540,0.01787144,-0.01829552
-2.0,-0.03587732,0.03546180,0.02318786,-0.02402735
-2.5,-0.04392258,0.04273063,0.02260626,-0.02310481
-3.0,-0.05139528,0.05143490,0.01741851,-0.01806506
-3.5,-0.01294167,0.01240710,0.00724339,-0.00779196
-4.0,0.00375316,-0.00414004,-0.00006105,-0.00042020
-4.5,0.00644740,-0.00677106,-0.00569804,0.00520948
-5.0,0.00462817,-0.00515175,-0.01050241,0.00989125
-5.5,0.00255087,-0.00299383,-0.00905216,0.00845835
-6.0,0.00639981,-0.00665770,-0.00080504,0.00021406
-6.5,0.00415757,-0.00445687,0.00529257,-0.00561615
-7.0,-0.00231698,0.00193518,0.00357395,-0.00412735
-7.5,-0.01088841,0.01045856,0.00116565,-0.00180763
-8.0,-0.01310539,0.01276942,0.00224352,-0.00279567
-8.5,-0.01434238,0.01395687,0.00461668,-0.00526755
-9.0,-0.00525201,0.00484245,0.01074782,-0.01127616
-9.5,0.00107024,-0.00136322,0.00685428,-0.00740461
-10.0,0.00294030,-0.00330594,0.00445890,-0.00492883
-10.5,0.00347615,-0.00384619,0.00050614,-0.00108396
-11.0,0.00189297,-0.00218713,-0.00117060,0.00066617
-11.5,0.00074477,-0.00109527,0.00258020,-0.00307569
-12.0,-0.00011736,-0.00030482,0.00369055,-0.00412402
-12.5,-0.00152847,0.00119451,0.00156401,-0.00209758
-13.0,-0.00240044,0.00203318,-0.00243439,0.00185598
-13.5,-0.00027665,-0.00008801,-0.00575242,0.00526820
-14.0,0.00727864,-0.00773517,-0.00607970,0.00556609
-14.5,0.00983400,-0.01015149,-0.00488762,0.00448167
-15.0,0.00803124,-0.00867731,-0.00663878,0.00599167
-15.5,0.00773653,-0.00803756,-0.00046616,-0.00010264
-16.0,0.00516597,-0.00552862,0.00033751,-0.00089757
-16.5,0.00334989,-0.00367828,-0.00050764,0.00001383
-17.0,-0.00088424,0.00042147,-0.00057043,0.00015184
-17.5,0.00203201,-0.00250759,-0.00281053,0.00233643
-18.0,0.00571240,-0.00592518,0.00076634,-0.00136231
-18.5,0.00413695,-0.00445400,0.00337192,-0.00374498
-19.0,0.00410163,-0.00457663,-0.00104810,0.00065075
-19.5,0.00819615,-0.00845480,-0.00120853,0.00075261
-20.0,0.00825643,-0.00860399,0.00070901,-0.00129174
-20.5,0.01067704,-0.00986444,0.00157818,-0.00203846
-21.0,0.00583898,-0.00639812,-0.00260772,0.00158212
-21.5,0.00910281,-0.00925406,-0.00263124,0.00224904
-22.0,0.00300690,-0.00335868,-0.00248777,0.00205634
-22.5,0.00065927,-0.00093365,-0.00388836,0.00353943
-23.0,-0.00013234,-0.00016581,-0.00841510,0.00792823
-23.5,0.00184137,-0.00233883,-0.00948812,0.00881066
