RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVOB
Borehole,IN 102
Probe Serial#,23780000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33310000
Reading Date(m/d/y),03/02/2023,00:44:28
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03310836,0.03267356,0.01259139,-0.01253630
-1.0,-0.03153991,0.03115471,0.01660836,-0.01710681
-1.5,-0.03082605,0.03038306,0.01809124,-0.01835699
-2.0,-0.03650253,0.03590848,0.02359007,-0.02443078
-2.5,-0.04398537,0.04279765,0.02270631,-0.02318950
-3.0,-0.05152337,0.05172221,0.01741199,-0.01804934
-3.5,-0.01322576,0.01265133,0.00743323,-0.00781410
-4.0,0.00374119,-0.00395803,-0.00004319,-0.00042219
-4.5,0.00638642,-0.00668542,-0.00564369,0.00526505
-5.0,0.00457781,-0.00510997,-0.01041449,0.00994175
-5.5,0.00255615,-0.00297696,-0.00899369,0.00847912
-6.0,0.00642908,-0.00667663,-0.00066877,0.00014330
-6.5,0.00420581,-0.00451922,0.00534329,-0.00559997
-7.0,-0.00220463,0.00183954,0.00364250,-0.00411421
-7.5,-0.01091193,0.01050984,0.00134628,-0.00176960
-8.0,-0.01300866,0.01268578,0.00224907,-0.00276121
-8.5,-0.01418438,0.01388258,0.00457796,-0.00522535
-9.0,-0.00505067,0.00462481,0.01078696,-0.01128640
-9.5,0.00119724,-0.00155418,0.00698139,-0.00723958
-10.0,0.00312736,-0.00345145,0.00447842,-0.00489123
-10.5,0.00361315,-0.00396379,0.00061412,-0.00102483
-11.0,0.00152964,-0.00189254,-0.00054170,0.00009873
-11.5,0.00085576,-0.00120892,0.00264078,-0.00306737
-12.0,-0.00006002,-0.00036055,0.00375921,-0.00409480
-12.5,-0.00146506,0.00112949,0.00160734,-0.00208925
-13.0,-0.00227222,0.00195216,-0.00250459,0.00202430
-13.5,-0.00020349,-0.00014329,-0.00573272,0.00529040
-14.0,0.00741781,-0.00779981,-0.00605935,0.00557092
-14.5,0.00991823,-0.01018298,-0.00481832,0.00450877
-15.0,0.00803405,-0.00863601,-0.00654960,0.00598773
-15.5,0.00765898,-0.00804627,-0.00035505,-0.00017077
-16.0,0.00521930,-0.00550945,0.00037389,-0.00085174
-16.5,0.00333686,-0.00369017,-0.00042453,0.00002693
-17.0,-0.00089726,0.00051055,-0.00051634,0.00020288
-17.5,0.00215284,-0.00262110,-0.00279429,0.00238545
-18.0,0.00566514,-0.00594439,0.00112602,-0.00144327
-18.5,0.00408688,-0.00445809,0.00337617,-0.00369634
-19.0,0.00411726,-0.00454882,-0.00096145,0.00068416
-19.5,0.00825944,-0.00846267,-0.00111652,0.00075541
-20.0,0.00832421,-0.00857538,0.00073035,-0.00130177
-20.5,0.01208734,-0.00848646,0.00181399,-0.00192786
-21.0,0.01044376,-0.00641978,-0.00258782,0.00180587
-21.5,0.00911636,-0.00925724,-0.00257247,0.00231123
-22.0,0.00297610,-0.00331436,-0.00248475,0.00205131
-22.5,0.00069451,-0.00091733,-0.00393079,0.00356072
-23.0,-0.00012971,-0.00005921,-0.00846031,0.00808500
-23.5,0.00159219,-0.00232723,-0.00919910,0.00885429
