RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVOB
Borehole,102
Probe Serial#,23780000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33310000
Reading Date(m/d/y),05/27/2023,11:02:14
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03418228,0.03286202,0.01437425,-0.01430865
-1.0,-0.03199323,0.03086768,0.01607179,-0.01683153
-1.5,-0.03108713,0.02996235,0.01769378,-0.01825371
-2.0,-0.03621919,0.03488125,0.02319286,-0.02414668
-2.5,-0.04390401,0.04213455,0.02298659,-0.02352685
-3.0,-0.05259961,0.05160983,0.01783098,-0.01826518
-3.5,-0.01768895,0.01601881,0.00907226,-0.00946247
-4.0,0.00388385,-0.00498799,-0.00021315,-0.00015952
-4.5,0.00590922,-0.00716323,-0.00657926,0.00627522
-5.0,0.00392480,-0.00507008,-0.01047949,0.00989552
-5.5,0.00213080,-0.00337517,-0.00902092,0.00854750
-6.0,0.00662002,-0.00791070,0.00233836,-0.00281184
-6.5,0.00372364,-0.00477063,0.00512574,-0.00556630
-7.0,-0.00325217,0.00200063,0.00337432,-0.00385240
-7.5,-0.01078953,0.00960399,0.00124602,-0.00180446
-8.0,-0.01343814,0.01236791,0.00246425,-0.00291629
-8.5,-0.01451169,0.01333836,0.00330908,-0.00381972
-9.0,-0.00889092,0.00763972,0.00979776,-0.01033930
-9.5,0.00088238,-0.00198047,0.00694621,-0.00736913
-10.0,0.00281235,-0.00397683,0.00444054,-0.00487376
-10.5,0.00332617,-0.00452181,0.00068076,-0.00117143
-11.0,0.00199045,-0.00312706,-0.00139784,0.00088365
-11.5,0.00065756,-0.00177904,0.00264968,-0.00305565
-12.0,-0.00014749,-0.00106788,0.00364948,-0.00420065
-12.5,-0.00165271,0.00057127,0.00157992,-0.00205455
-13.0,-0.00255123,0.00141571,-0.00232263,0.00186634
-13.5,-0.00050172,-0.00057015,-0.00560049,0.00522164
-14.0,0.00729446,-0.00845917,-0.00605280,0.00549638
-14.5,0.00954450,-0.01056281,-0.00495087,0.00453611
-15.0,0.00793889,-0.00928721,-0.00664320,0.00594237
-15.5,0.00764931,-0.00869838,-0.00097450,0.00085012
-16.0,0.00483931,-0.00598150,0.00023019,-0.00080937
-16.5,0.00325562,-0.00431482,-0.00054879,0.00008624
-17.0,-0.00124859,0.00003865,-0.00065782,0.00019971
-17.5,0.00193453,-0.00328248,-0.00295264,0.00243928
-18.0,0.00527723,-0.00634859,0.00130174,-0.00177889
-18.5,0.00375257,-0.00493488,0.00335986,-0.00366965
-19.0,0.00480747,-0.00566954,-0.00193626,0.00148774
-19.5,0.00757267,-0.00871749,-0.00022773,-0.00018892
-20.0,0.00784325,-0.00899952,0.00075355,-0.00117193
-20.5,0.01171090,-0.00879000,0.00166245,-0.00191126
-21.0,0.00674283,-0.00816549,-0.00189927,0.00113401
-21.5,0.00870073,-0.00961644,-0.00267327,0.00232883
-22.0,0.00389249,-0.00512075,-0.00331530,0.00281943
-22.5,0.00072269,-0.00180748,-0.00315024,0.00279067
-23.0,-0.00056366,-0.00058102,-0.00812822,0.00769028
-23.5,0.00120008,-0.00225119,-0.00944264,0.00893911
