RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVOB
Borehole,102
Probe Serial#,23780000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33310000
Reading Date(m/d/y),05/30/2023,22:32:39
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03416482,0.03304535,0.01504352,-0.01570682
-1.0,-0.03195193,0.03082742,0.01618988,-0.01698722
-1.5,-0.03108594,0.02996470,0.01782000,-0.01838717
-2.0,-0.03661292,0.03528243,0.02348628,-0.02447797
-2.5,-0.04413198,0.04225934,0.02295577,-0.02347099
-3.0,-0.05218676,0.05141173,0.01769210,-0.01828767
-3.5,-0.01538607,0.01410426,0.00818437,-0.00875197
-4.0,0.00366570,-0.00471578,-0.00015914,-0.00029152
-4.5,0.00593289,-0.00712263,-0.00622122,0.00575093
-5.0,0.00397263,-0.00516573,-0.01048577,0.00993089
-5.5,0.00212163,-0.00332427,-0.00900542,0.00845741
-6.0,0.00650497,-0.00765243,0.00094249,-0.00138394
-6.5,0.00373797,-0.00479627,0.00517402,-0.00555403
-7.0,-0.00310710,0.00186524,0.00348926,-0.00397798
-7.5,-0.01093797,0.00974184,0.00132251,-0.00185615
-8.0,-0.01340802,0.01232460,0.00240884,-0.00288061
-8.5,-0.01450955,0.01335438,0.00403637,-0.00455263
-9.0,-0.00717106,0.00600686,0.01028273,-0.01090326
-9.5,0.00092638,-0.00200266,0.00685076,-0.00734028
-10.0,0.00284056,-0.00391643,0.00442669,-0.00489699
-10.5,0.00335010,-0.00449289,0.00057804,-0.00111008
-11.0,0.00161331,-0.00274846,-0.00091433,0.00040094
-11.5,0.00064686,-0.00178253,0.00267767,-0.00307395
-12.0,-0.00018424,-0.00102673,0.00361715,-0.00423690
-12.5,-0.00165606,0.00056094,0.00162898,-0.00202339
-13.0,-0.00253455,0.00142216,-0.00236579,0.00196511
-13.5,-0.00050669,-0.00059964,-0.00566800,0.00524959
-14.0,0.00709208,-0.00824825,-0.00608613,0.00555869
-14.5,0.00954096,-0.01059482,-0.00499815,0.00456437
-15.0,0.00788307,-0.00920995,-0.00668171,0.00599235
-15.5,0.00749920,-0.00857866,-0.00078480,0.00054333
-16.0,0.00486889,-0.00596922,0.00030365,-0.00081768
-16.5,0.00316543,-0.00421868,-0.00051836,0.00008036
-17.0,-0.00124597,0.00006357,-0.00064781,0.00021882
-17.5,0.00195718,-0.00318183,-0.00291812,0.00239708
-18.0,0.00531810,-0.00636838,0.00120256,-0.00164813
-18.5,0.00373404,-0.00485960,0.00332887,-0.00369034
-19.0,0.00459581,-0.00546330,-0.00179773,0.00133863
-19.5,0.00766899,-0.00873135,-0.00060943,0.00025292
-20.0,0.00787730,-0.00897213,0.00070568,-0.00123540
-20.5,0.01122367,-0.00934484,0.00170608,-0.00197521
-21.0,0.00710991,-0.00844680,-0.00200252,0.00149492
-21.5,0.00871956,-0.00960798,-0.00265702,0.00229132
-22.0,0.00325858,-0.00434826,-0.00282286,0.00246490
-22.5,0.00058824,-0.00163467,-0.00356174,0.00317199
-23.0,-0.00054590,-0.00051709,-0.00827359,0.00780908
-23.5,0.00129893,-0.00242014,-0.00946306,0.00890041
