RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVOB
Borehole,S04 S 102
Probe Serial#,23780000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33310000
Reading Date(m/d/y),06/08/2023,13:25:41
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03414462,0.03303277,0.01506061,-0.01552315
-1.0,-0.03189875,0.03077436,0.01636344,-0.01690160
-1.5,-0.03108693,0.02994122,0.01798034,-0.01831560
-2.0,-0.03661576,0.03532000,0.02355946,-0.02458422
-2.5,-0.04406756,0.04220724,0.02302582,-0.02354712
-3.0,-0.05226372,0.05142061,0.01775454,-0.01843914
-3.5,-0.01470260,0.01340270,0.00844056,-0.00892131
-4.0,0.00366521,-0.00473264,-0.00026117,-0.00019797
-4.5,0.00593038,-0.00712166,-0.00629361,0.00586970
-5.0,0.00397064,-0.00523918,-0.01050408,0.00994429
-5.5,0.00210478,-0.00336176,-0.00900897,0.00846970
-6.0,0.00643396,-0.00761575,-0.00086048,0.00051129
-6.5,0.00377410,-0.00482701,0.00531496,-0.00555088
-7.0,-0.00304319,0.00177181,0.00353198,-0.00401386
-7.5,-0.01086880,0.00967077,0.00135263,-0.00181509
-8.0,-0.01340776,0.01234251,0.00239647,-0.00285896
-8.5,-0.01450319,0.01330430,0.00419748,-0.00470306
-9.0,-0.00679080,0.00557393,0.01036323,-0.01086986
-9.5,0.00093499,-0.00205209,0.00687711,-0.00729860
-10.0,0.00283979,-0.00394934,0.00443448,-0.00488834
-10.5,0.00334973,-0.00449442,0.00056795,-0.00112369
-11.0,0.00169477,-0.00282790,-0.00097750,0.00053775
-11.5,0.00063307,-0.00179301,0.00269237,-0.00307561
-12.0,-0.00017115,-0.00101106,0.00374877,-0.00418882
-12.5,-0.00166993,0.00053535,0.00166713,-0.00207359
-13.0,-0.00255906,0.00139669,-0.00236905,0.00193493
-13.5,-0.00054807,-0.00062084,-0.00565038,0.00525869
-14.0,0.00717463,-0.00838046,-0.00606648,0.00555933
-14.5,0.00951967,-0.01059178,-0.00497172,0.00452958
-15.0,0.00786542,-0.00922421,-0.00656364,0.00598623
-15.5,0.00754243,-0.00864363,-0.00076362,0.00050695
-16.0,0.00485584,-0.00600714,0.00032158,-0.00082903
-16.5,0.00316923,-0.00423274,-0.00050802,0.00008560
-17.0,-0.00124392,0.00003024,-0.00063928,0.00020278
-17.5,0.00187419,-0.00313734,-0.00289658,0.00239012
-18.0,0.00530439,-0.00635615,0.00115454,-0.00158714
-18.5,0.00376455,-0.00486981,0.00329313,-0.00367955
-19.0,0.00428711,-0.00534694,-0.00169075,0.00124231
-19.5,0.00768814,-0.00874931,-0.00058126,0.00014206
-20.0,0.00788073,-0.00898957,0.00067338,-0.00116461
-20.5,0.01102351,-0.00953047,0.00162509,-0.00192052
-21.0,0.00721802,-0.00851219,-0.00208828,0.00161605
-21.5,0.00868505,-0.00962948,-0.00261829,0.00228360
-22.0,0.00334769,-0.00454602,-0.00290051,0.00254843
-22.5,0.00049800,-0.00160366,-0.00354503,0.00308196
-23.0,-0.00058408,-0.00052179,-0.00823481,0.00782550
-23.5,0.00117564,-0.00261573,-0.00958320,0.00892946
