RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,Tvob
Borehole,102
Probe Serial#,24000000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33290000
Reading Date(m/d/y),09/26/2023,11:03:15
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03400946,0.03278953,0.01306305,-0.01356223
-1.0,-0.03193243,0.03077688,0.01631012,-0.01687032
-1.5,-0.03108782,0.02993173,0.01794067,-0.01830603
-2.0,-0.03652011,0.03517275,0.02351520,-0.02453817
-2.5,-0.04408328,0.04221826,0.02303240,-0.02356585
-3.0,-0.05232334,0.05149557,0.01779378,-0.01844004
-3.5,-0.01440559,0.01311222,0.00829243,-0.00875220
-4.0,0.00367334,-0.00474744,-0.00019172,-0.00024185
-4.5,0.00589053,-0.00711085,-0.00618881,0.00577008
-5.0,0.00389947,-0.00516782,-0.01048651,0.00994243
-5.5,0.00208571,-0.00332929,-0.00901249,0.00847334
-6.0,0.00651983,-0.00770465,-0.00080434,0.00045351
-6.5,0.00374992,-0.00480841,0.00529382,-0.00555471
-7.0,-0.00309899,0.00182013,0.00351992,-0.00400513
-7.5,-0.01097503,0.00978330,0.00135103,-0.00181946
-8.0,-0.01342065,0.01235139,0.00239957,-0.00285326
-8.5,-0.01453096,0.01332094,0.00420451,-0.00467720
-9.0,-0.00670502,0.00548176,0.01033611,-0.01084286
-9.5,0.00091747,-0.00202878,0.00684659,-0.00726954
-10.0,0.00281324,-0.00392541,0.00443435,-0.00489210
-10.5,0.00332109,-0.00447821,0.00059216,-0.00111022
-11.0,0.00174500,-0.00288329,-0.00108520,0.00063825
-11.5,0.00060568,-0.00177754,0.00267674,-0.00306104
-12.0,-0.00019283,-0.00099727,0.00367415,-0.00418248
-12.5,-0.00170380,0.00055822,0.00163280,-0.00203348
-13.0,-0.00258441,0.00140913,-0.00236468,0.00193660
-13.5,-0.00056141,-0.00061652,-0.00566878,0.00527288
-14.0,0.00718794,-0.00839605,-0.00609096,0.00557943
-14.5,0.00953391,-0.01059741,-0.00499483,0.00453913
-15.0,0.00788899,-0.00922429,-0.00658631,0.00599792
-15.5,0.00759582,-0.00869006,-0.00083328,0.00059313
-16.0,0.00486603,-0.00602251,0.00031084,-0.00082784
-16.5,0.00317949,-0.00424075,-0.00051734,0.00008531
-17.0,-0.00124686,0.00003023,-0.00065184,0.00020383
-17.5,0.00189573,-0.00316275,-0.00292152,0.00239440
-18.0,0.00530812,-0.00636377,0.00120339,-0.00166110
-18.5,0.00375272,-0.00486768,0.00328084,-0.00367230
-19.0,0.00452553,-0.00555853,-0.00179335,0.00134224
-19.5,0.00764877,-0.00874676,-0.00049950,0.00007390
-20.0,0.00791136,-0.00903844,0.00067084,-0.00117053
-20.5,0.01125113,-0.00933341,0.00161664,-0.00188806
-21.0,0.00715515,-0.00839662,-0.00197985,0.00151925
-21.5,0.00871646,-0.00967493,-0.00263395,0.00228814
-22.0,0.00333815,-0.00450316,-0.00300179,0.00261791
-22.5,0.00053258,-0.00160669,-0.00345881,0.00299336
-23.0,-0.00057193,-0.00053941,-0.00824612,0.00780074
-23.5,0.00119491,-0.00259721,-0.00955531,0.00892903
