RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,Tvob
Borehole,102
Probe Serial#,24000000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33290000
Reading Date(m/d/y),10/05/2023,10:56:29
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03404557,0.03283784,0.01306826,-0.01356661
-1.0,-0.03195735,0.03080160,0.01630040,-0.01691186
-1.5,-0.03112233,0.02995612,0.01791081,-0.01831165
-2.0,-0.03655792,0.03521016,0.02351876,-0.02453619
-2.5,-0.04408810,0.04221982,0.02302520,-0.02355124
-3.0,-0.05231598,0.05149156,0.01783800,-0.01839454
-3.5,-0.01441769,0.01312280,0.00838925,-0.00886302
-4.0,0.00373892,-0.00480553,-0.00022465,-0.00021825
-4.5,0.00589524,-0.00710923,-0.00627193,0.00584672
-5.0,0.00391389,-0.00518250,-0.01049567,0.00994321
-5.5,0.00205957,-0.00331660,-0.00901699,0.00847702
-6.0,0.00649373,-0.00769567,-0.00080735,0.00045576
-6.5,0.00372472,-0.00479423,0.00527765,-0.00555746
-7.0,-0.00308925,0.00181513,0.00351073,-0.00399873
-7.5,-0.01100068,0.00977981,0.00134715,-0.00182304
-8.0,-0.01342506,0.01234981,0.00239833,-0.00285828
-8.5,-0.01455324,0.01334253,0.00421461,-0.00464573
-9.0,-0.00676143,0.00554150,0.01031959,-0.01082650
-9.5,0.00091238,-0.00203818,0.00681670,-0.00724523
-10.0,0.00279107,-0.00391703,0.00442250,-0.00488991
-10.5,0.00329598,-0.00446423,0.00058947,-0.00111669
-11.0,0.00172463,-0.00287169,-0.00109679,0.00064789
-11.5,0.00058350,-0.00175992,0.00267965,-0.00307167
-12.0,-0.00021804,-0.00098163,0.00368085,-0.00418357
-12.5,-0.00172583,0.00057587,0.00162775,-0.00203190
-13.0,-0.00260008,0.00142199,-0.00238165,0.00194256
-13.5,-0.00056825,-0.00061013,-0.00567637,0.00526700
-14.0,0.00715734,-0.00836140,-0.00609181,0.00556615
-14.5,0.00952985,-0.01060503,-0.00499647,0.00454808
-15.0,0.00788590,-0.00923338,-0.00661593,0.00601216
-15.5,0.00761188,-0.00870923,-0.00084303,0.00059493
-16.0,0.00487303,-0.00602994,0.00031353,-0.00082625
-16.5,0.00317960,-0.00424008,-0.00051722,0.00008588
-17.0,-0.00123711,0.00001975,-0.00065178,0.00020434
-17.5,0.00188530,-0.00315086,-0.00292267,0.00239581
-18.0,0.00531909,-0.00637494,0.00120530,-0.00167220
-18.5,0.00376753,-0.00487478,0.00328877,-0.00367472
-19.0,0.00441660,-0.00544544,-0.00179857,0.00135172
-19.5,0.00767496,-0.00875667,-0.00049618,0.00011930
-20.0,0.00793444,-0.00907343,0.00068183,-0.00117854
-20.5,0.01129409,-0.00935505,0.00162974,-0.00189211
-21.0,0.00722695,-0.00836152,-0.00192879,0.00149924
-21.5,0.00874784,-0.00970998,-0.00263790,0.00229848
-22.0,0.00331813,-0.00449082,-0.00301840,0.00262224
-22.5,0.00051432,-0.00159621,-0.00343312,0.00299199
-23.0,-0.00055702,-0.00055591,-0.00825317,0.00779749
-23.5,0.00123656,-0.00254762,-0.00951332,0.00891118
