RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,Tvob
Borehole,102
Probe Serial#,24000000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33290000
Reading Date(m/d/y),11/18/2023,10:28:26
Depth,-23.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-0.03403291,0.03281887,0.01307175,-0.01356954
-1.0,-0.03195781,0.03080419,0.01629451,-0.01690271
-1.5,-0.03112008,0.02995433,0.01790917,-0.01831131
-2.0,-0.03653752,0.03518441,0.02352138,-0.02452861
-2.5,-0.04411241,0.04223280,0.02302816,-0.02355637
-3.0,-0.05237809,0.05154406,0.01780174,-0.01843415
-3.5,-0.01440037,0.01311559,0.00837971,-0.00885102
-4.0,0.00375761,-0.00482066,-0.00021566,-0.00022336
-4.5,0.00585485,-0.00709318,-0.00626343,0.00583753
-5.0,0.00385086,-0.00512046,-0.01049405,0.00994416
-5.5,0.00204998,-0.00330857,-0.00901485,0.00847656
-6.0,0.00649723,-0.00769606,-0.00079964,0.00044745
-6.5,0.00372335,-0.00479223,0.00527237,-0.00555917
-7.0,-0.00308490,0.00181441,0.00350980,-0.00399760
-7.5,-0.01100984,0.00978486,0.00135049,-0.00182331
-8.0,-0.01342984,0.01235592,0.00239805,-0.00285851
-8.5,-0.01456154,0.01334841,0.00419740,-0.00467460
-9.0,-0.00677177,0.00555223,0.01031140,-0.01081843
-9.5,0.00090929,-0.00203597,0.00680974,-0.00723597
-10.0,0.00278382,-0.00391279,0.00442179,-0.00489026
-10.5,0.00328749,-0.00445906,0.00059603,-0.00111709
-11.0,0.00174347,-0.00288910,-0.00112599,0.00067935
-11.5,0.00057520,-0.00175530,0.00268182,-0.00307529
-12.0,-0.00022172,-0.00097892,0.00367462,-0.00418609
-12.5,-0.00173557,0.00058161,0.00162119,-0.00202649
-13.0,-0.00260780,0.00142561,-0.00238321,0.00194260
-13.5,-0.00057011,-0.00061122,-0.00567993,0.00526704
-14.0,0.00718158,-0.00838902,-0.00609062,0.00555998
-14.5,0.00953225,-0.01060832,-0.00500203,0.00454918
-15.0,0.00788740,-0.00923043,-0.00662044,0.00601405
-15.5,0.00762693,-0.00872226,-0.00085988,0.00061871
-16.0,0.00487623,-0.00603480,0.00031428,-0.00082810
-16.5,0.00318042,-0.00423927,-0.00051514,0.00008460
-17.0,-0.00124025,0.00002474,-0.00065156,0.00020364
-17.5,0.00188932,-0.00315383,-0.00292876,0.00239663
-18.0,0.00531796,-0.00637341,0.00122471,-0.00169989
-18.5,0.00376478,-0.00487094,0.00328692,-0.00367189
-19.0,0.00444091,-0.00546328,-0.00182895,0.00138432
-19.5,0.00767037,-0.00875348,-0.00049275,0.00006308
-20.0,0.00794584,-0.00908990,0.00067843,-0.00117895
-20.5,0.01136399,-0.00928651,0.00163008,-0.00188142
-21.0,0.00714305,-0.00840813,-0.00195173,0.00145588
-21.5,0.00875402,-0.00972011,-0.00264514,0.00230088
-22.0,0.00331940,-0.00448814,-0.00305400,0.00264467
-22.5,0.00051681,-0.00159418,-0.00339798,0.00296434
-23.0,-0.00055811,-0.00055343,-0.00826011,0.00778919
-23.5,0.00123778,-0.00254036,-0.00950323,0.00891571
