RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVPM
Borehole,IN-TVPM-63
Probe Serial#,24000000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),05/12/2023,22:23:11
Depth,-26.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01852686,-0.01853002,-0.00918793,0.00858732
-1.0,0.01681602,-0.01672742,-0.00883527,0.00832224
-1.5,0.01564448,-0.01556274,-0.00831338,0.00787320
-2.0,0.00908981,-0.00891104,-0.00575242,0.00547817
-2.5,0.00811679,-0.00807530,-0.00491714,0.00458654
-3.0,0.00759649,-0.00740883,-0.00062921,0.00046121
-3.5,0.00644443,-0.00630939,-0.00231326,0.00221291
-4.0,0.00824137,-0.00791433,-0.00663138,0.00643731
-4.5,0.00601705,-0.00584271,-0.01134518,0.01098698
-5.0,0.00575440,-0.00548038,-0.01131364,0.01107700
-5.5,0.00541888,-0.00531391,-0.00921365,0.00885762
-6.0,0.00662300,-0.00651039,-0.00670906,0.00645812
-6.5,0.00859159,-0.00845657,-0.00413720,0.00376961
-7.0,0.00935539,-0.00910422,-0.00295910,0.00263875
-7.5,0.00940150,-0.00934383,-0.00343371,0.00323697
-8.0,0.00874034,-0.00854373,-0.00157060,0.00127001
-8.5,-0.00232391,0.00209824,0.00257156,-0.00265872
-9.0,-0.00779295,0.00808209,0.00279052,-0.00298953
-9.5,-0.01221201,0.01237259,-0.00085918,0.00065435
-10.0,-0.01039651,0.00998808,-0.00315300,0.00287781
-10.5,0.00390995,-0.00356953,-0.00161761,0.00131404
-11.0,0.00979364,-0.00966277,0.00017881,-0.00042016
-11.5,0.01199353,-0.01205296,0.00122232,-0.00156552
-12.0,0.01275345,-0.01265444,-0.00005267,-0.00013727
-12.5,0.01177438,-0.01167837,-0.00346344,0.00322582
-13.0,0.00842119,-0.00834044,-0.00534187,0.00504689
-13.5,0.00649643,-0.00634580,-0.00423125,0.00394280
-14.0,0.00560080,-0.00524247,-0.00284772,0.00259090
-14.5,0.00306108,-0.00295839,-0.00172981,0.00127204
-15.0,0.00315789,-0.00296794,-0.00335729,0.00314021
-15.5,0.00595803,-0.00601979,-0.00677456,0.00644524
-16.0,0.01818684,-0.01820507,-0.00353034,0.00316782
-16.5,0.03007663,-0.03017425,0.00497022,-0.00542625
-17.0,0.02861854,-0.02833403,0.00854390,-0.00883586
-17.5,0.02164694,-0.02177352,0.00315947,-0.00384024
-18.0,0.01403717,-0.01374899,-0.00084979,0.00059601
-18.5,0.00935091,-0.00919662,-0.00320733,0.00287828
-19.0,0.00575614,-0.00562732,-0.00365297,0.00338290
-19.5,0.00172126,-0.00153008,-0.00420725,0.00396140
-20.0,-0.00051585,0.00072186,-0.00648144,0.00616989
-20.5,0.00216754,-0.00231152,-0.00848002,0.00831403
-21.0,0.00402361,-0.00391827,-0.01117622,0.01085636
-21.5,0.00504801,-0.00485528,-0.01190483,0.01164732
-22.0,0.00447470,-0.00414541,-0.00962664,0.00922765
-22.5,0.00420307,-0.00419271,-0.00719468,0.00691072
-23.0,0.00610803,-0.00578533,-0.00436955,0.00417618
-23.5,0.00513250,-0.00508935,-0.00830629,0.00817696
-24.0,0.00762133,-0.00749104,-0.01327650,0.01300769
-24.5,0.00982283,-0.00976877,-0.01183734,0.01145198
-25.0,0.01227302,-0.01218465,-0.00452465,0.00401076
-25.5,0.00917674,-0.00898968,-0.00092170,0.00066157
-26.0,0.00148971,-0.00153043,-0.00267645,0.00233438
