RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVPM
Borehole,IN P63
Probe Serial#,23790000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),07/13/2023,16:51:48
Depth,-26.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01091830,-0.01008262,-0.00254173,0.00312909
-1.0,0.01166711,-0.01083241,-0.00383634,0.00438398
-1.5,0.01178808,-0.01106239,-0.00467233,0.00516058
-2.0,0.00916338,-0.00889471,-0.00545608,0.00547240
-2.5,0.00797947,-0.00763245,-0.00477681,0.00478327
-3.0,0.00756332,-0.00736120,-0.00076163,0.00100683
-3.5,0.00630560,-0.00584648,-0.00183160,0.00187485
-4.0,0.00816817,-0.00764468,-0.00671397,0.00665459
-4.5,0.00591428,-0.00552831,-0.01121381,0.01113779
-5.0,0.00575863,-0.00530939,-0.01117927,0.01114447
-5.5,0.00524687,-0.00498304,-0.00906599,0.00902499
-6.0,0.00603615,-0.00564786,-0.00668295,0.00677687
-6.5,0.00851706,-0.00816181,-0.00382747,0.00377508
-7.0,0.00911339,-0.00872174,-0.00272623,0.00266427
-7.5,0.00922155,-0.00896865,-0.00326644,0.00324567
-8.0,0.00856713,-0.00819354,-0.00130968,0.00129458
-8.5,-0.00267866,0.00294625,0.00267602,-0.00263449
-9.0,-0.00813988,0.00850499,0.00270997,-0.00274793
-9.5,-0.01222222,0.01267936,-0.00085449,0.00079699
-10.0,-0.01027693,0.01048253,-0.00310413,0.00310092
-10.5,0.00368035,-0.00330044,-0.00147862,0.00148851
-11.0,0.00976420,-0.00949638,0.00033854,-0.00031780
-11.5,0.01210820,-0.01179378,0.00135831,-0.00144492
-12.0,0.01272080,-0.01237036,0.00011604,-0.00007129
-12.5,0.01182351,-0.01146296,-0.00323809,0.00328332
-13.0,0.00835184,-0.00794760,-0.00510612,0.00511159
-13.5,0.00660115,-0.00638674,-0.00406984,0.00397083
-14.0,0.00564639,-0.00510466,-0.00267072,0.00267141
-14.5,0.00310194,-0.00278501,-0.00152566,0.00137159
-15.0,0.00334721,-0.00285673,-0.00343547,0.00334917
-15.5,0.00639611,-0.00612661,-0.00660234,0.00653967
-16.0,0.01871573,-0.01842004,-0.00323147,0.00323540
-16.5,0.03031714,-0.03016332,0.00588395,-0.00579952
-17.0,0.02854636,-0.02806736,0.00873436,-0.00874327
-17.5,0.02126356,-0.02087883,0.00310629,-0.00333700
-18.0,0.01390731,-0.01344992,-0.00088590,0.00083393
-18.5,0.00933336,-0.00890435,-0.00308287,0.00298703
-19.0,0.00580536,-0.00548787,-0.00350734,0.00348598
-19.5,0.00176149,-0.00140013,-0.00426022,0.00411720
-20.0,-0.00030138,0.00049101,-0.00645169,0.00640541
-20.5,0.00289547,-0.00257684,-0.00865847,0.00864732
-21.0,0.00428446,-0.00392650,-0.01108521,0.01105661
-21.5,0.00540459,-0.00514634,-0.01168340,0.01150866
-22.0,0.00450095,-0.00421347,-0.00933709,0.00919868
-22.5,0.00460065,-0.00438406,-0.00680497,0.00668603
-23.0,0.00619463,-0.00582175,-0.00434277,0.00431424
-23.5,0.00548243,-0.00513529,-0.00863456,0.00865486
-24.0,0.00799855,-0.00769521,-0.01327472,0.01311161
-24.5,0.01017271,-0.00995502,-0.01102575,0.01091012
-25.0,0.01238448,-0.01207355,-0.00404073,0.00405626
-25.5,0.00888850,-0.00849556,-0.00075929,0.00076882
-26.0,0.00121210,-0.00065254,-0.00286762,0.00276141
