RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVPM
Borehole,IN-63
Probe Serial#,24000000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33290000
Reading Date(m/d/y),08/03/2023,03:13:46
Depth,-26.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01066112,-0.00980990,-0.00234230,0.00299225
-1.0,0.01145308,-0.01061081,-0.00369833,0.00430136
-1.5,0.01167625,-0.01093401,-0.00453834,0.00509112
-2.0,0.00907883,-0.00882757,-0.00542867,0.00545377
-2.5,0.00796890,-0.00762231,-0.00473001,0.00490003
-3.0,0.00747083,-0.00732300,-0.00084056,0.00125343
-3.5,0.00626897,-0.00582820,-0.00170287,0.00194226
-4.0,0.00816275,-0.00756958,-0.00625490,0.00707767
-4.5,0.00591646,-0.00553453,-0.01078677,0.01158492
-5.0,0.00587135,-0.00504571,-0.01090966,0.01159621
-5.5,0.00530307,-0.00497510,-0.00898086,0.00920564
-6.0,0.00602747,-0.00560850,-0.00656656,0.00669780
-6.5,0.00877924,-0.00798489,-0.00344643,0.00425330
-7.0,0.00916745,-0.00834169,-0.00233286,0.00304048
-7.5,0.00950827,-0.00882832,-0.00289067,0.00363444
-8.0,0.00884814,-0.00800401,-0.00089585,0.00166152
-8.5,-0.00230860,0.00303689,0.00311051,-0.00223825
-9.0,-0.00784207,0.00874715,0.00311582,-0.00227393
-9.5,-0.01211532,0.01293264,-0.00067036,0.00088885
-10.0,-0.00984774,0.01051249,-0.00271998,0.00351942
-10.5,0.00346140,-0.00304363,-0.00113821,0.00182348
-11.0,0.01005793,-0.00919618,0.00065945,0.00014684
-11.5,0.01223094,-0.01150911,0.00168492,-0.00094031
-12.0,0.01275809,-0.01235750,0.00026117,0.00002395
-12.5,0.01196297,-0.01124332,-0.00302498,0.00375081
-13.0,0.00842949,-0.00798516,-0.00473384,0.00550854
-13.5,0.00691937,-0.00609555,-0.00348460,0.00423494
-14.0,0.00569934,-0.00510601,-0.00222117,0.00305471
-14.5,0.00338875,-0.00253198,-0.00092309,0.00162327
-15.0,0.00354582,-0.00279882,-0.00336309,0.00428381
-15.5,0.00615209,-0.00593645,-0.00628080,0.00696446
-16.0,0.01826642,-0.01784775,-0.00317316,0.00340655
-16.5,0.03080500,-0.03007238,0.00650823,-0.00568245
-17.0,0.02871171,-0.02819150,0.00877865,-0.00876155
-17.5,0.02158711,-0.02119794,0.00351662,-0.00366338
-18.0,0.01411465,-0.01365390,-0.00070022,0.00086693
-18.5,0.00952566,-0.00908778,-0.00275847,0.00354538
-19.0,0.00594883,-0.00511088,-0.00306223,0.00389814
-19.5,0.00186021,-0.00098559,-0.00393798,0.00463208
-20.0,0.00002778,0.00058345,-0.00624461,0.00705204
-20.5,0.00257990,-0.00232732,-0.00841711,0.00861075
-21.0,0.00414820,-0.00387941,-0.01087695,0.01109171
-21.5,0.00515206,-0.00500397,-0.01106526,0.01174764
-22.0,0.00464499,-0.00381238,-0.00925286,0.00942941
-22.5,0.00435843,-0.00414389,-0.00680960,0.00698412
-23.0,0.00647988,-0.00561491,-0.00416574,0.00437326
-23.5,0.00590509,-0.00499767,-0.00828078,0.00854924
-24.0,0.00768990,-0.00742064,-0.01312241,0.01318517
-24.5,0.00991331,-0.00971520,-0.01124865,0.01140148
-25.0,0.01231270,-0.01199795,-0.00425664,0.00448600
-25.5,0.00935493,-0.00903982,-0.00035596,0.00106538
-26.0,0.00150125,-0.00089972,-0.00261068,0.00263791
