RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVPM
Borehole,P63
Probe Serial#,23780000,Cal Date (m/d/y),04/22/2020
Reel Serial#,32500000
Reading Date(m/d/y),09/16/2023,03:30:55
Depth,-26.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01061607,-0.00979523,-0.00229487,0.00299447
-1.0,0.01141410,-0.01059581,-0.00361928,0.00427603
-1.5,0.01142950,-0.01066252,-0.00446942,0.00504617
-2.0,0.00903231,-0.00878565,-0.00538226,0.00538025
-2.5,0.00795545,-0.00764233,-0.00472545,0.00487382
-3.0,0.00745039,-0.00733352,-0.00083129,0.00115475
-3.5,0.00644872,-0.00583974,-0.00148739,0.00197667
-4.0,0.00811829,-0.00758259,-0.00638956,0.00700306
-4.5,0.00588027,-0.00554580,-0.01085727,0.01144858
-5.0,0.00577363,-0.00515254,-0.01100312,0.01143478
-5.5,0.00529668,-0.00497531,-0.00903285,0.00916974
-6.0,0.00605202,-0.00566172,-0.00656903,0.00669278
-6.5,0.00870041,-0.00804658,-0.00359686,0.00409857
-7.0,0.00914826,-0.00848867,-0.00250050,0.00290586
-7.5,0.00937773,-0.00890372,-0.00301538,0.00351652
-8.0,0.00871289,-0.00809099,-0.00102895,0.00153968
-8.5,-0.00251181,0.00299440,0.00290146,-0.00231744
-9.0,-0.00795460,0.00870821,0.00298598,-0.00238086
-9.5,-0.01216764,0.01284122,-0.00075379,0.00089389
-10.0,-0.01000422,0.01052195,-0.00287890,0.00343501
-10.5,0.00349313,-0.00303607,-0.00126722,0.00178427
-11.0,0.00993893,-0.00931583,0.00056011,-0.00005399
-11.5,0.01217061,-0.01163721,0.00158848,-0.00114957
-12.0,0.01271255,-0.01237865,0.00023376,-0.00003923
-12.5,0.01191463,-0.01134966,-0.00306630,0.00360238
-13.0,0.00841104,-0.00800329,-0.00481283,0.00538956
-13.5,0.00678592,-0.00621076,-0.00367561,0.00421420
-14.0,0.00565936,-0.00512124,-0.00237556,0.00292989
-14.5,0.00326872,-0.00263823,-0.00112341,0.00158126
-15.0,0.00346405,-0.00284801,-0.00332892,0.00403419
-15.5,0.00616573,-0.00603160,-0.00639703,0.00676173
-16.0,0.01834844,-0.01781416,-0.00320618,0.00347957
-16.5,0.03059158,-0.03012533,0.00621072,-0.00551174
-17.0,0.02867584,-0.02822062,0.00879164,-0.00878873
-17.5,0.02163806,-0.02123067,0.00356938,-0.00360812
-18.0,0.01408836,-0.01367804,-0.00070376,0.00082951
-18.5,0.00955012,-0.00912251,-0.00280262,0.00333726
-19.0,0.00593633,-0.00531162,-0.00317981,0.00376367
-19.5,0.00191333,-0.00120265,-0.00399627,0.00445681
-20.0,-0.00012942,0.00058292,-0.00621253,0.00681094
-20.5,0.00253919,-0.00233070,-0.00840698,0.00855562
-21.0,0.00413638,-0.00390766,-0.01093993,0.01099447
-21.5,0.00511912,-0.00501826,-0.01128381,0.01171205
-22.0,0.00458415,-0.00402414,-0.00931339,0.00948079
-22.5,0.00427016,-0.00408938,-0.00688125,0.00703682
-23.0,0.00631579,-0.00571456,-0.00419612,0.00430619
-23.5,0.00570079,-0.00505345,-0.00825891,0.00830337
-24.0,0.00764871,-0.00741316,-0.01312555,0.01309562
-24.5,0.00989101,-0.00972564,-0.01133875,0.01140214
-25.0,0.01229424,-0.01199309,-0.00437184,0.00455929
-25.5,0.00940681,-0.00911582,-0.00049296,0.00096466
-26.0,0.00154755,-0.00098618,-0.00259350,0.00255032
