RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVPM
Borehole,P63
Probe Serial#,23780000,Cal Date (m/d/y),04/22/2020
Reel Serial#,32500000
Reading Date(m/d/y),10/04/2023,02:18:35
Depth,-26.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01070814,-0.00971374,-0.00228340,0.00311439
-1.0,0.01149709,-0.01051705,-0.00365045,0.00440857
-1.5,0.01141420,-0.01067810,-0.00446066,0.00513554
-2.0,0.00906892,-0.00880402,-0.00540526,0.00547391
-2.5,0.00794482,-0.00761958,-0.00475968,0.00487880
-3.0,0.00746620,-0.00731546,-0.00084254,0.00119487
-3.5,0.00646247,-0.00580843,-0.00163266,0.00201061
-4.0,0.00811343,-0.00755156,-0.00635258,0.00703588
-4.5,0.00585018,-0.00553866,-0.01092272,0.01143803
-5.0,0.00574879,-0.00512248,-0.01101333,0.01144450
-5.5,0.00527808,-0.00496362,-0.00898623,0.00918807
-6.0,0.00606450,-0.00564235,-0.00653528,0.00669489
-6.5,0.00869950,-0.00800853,-0.00356324,0.00413848
-7.0,0.00916856,-0.00843285,-0.00249322,0.00291977
-7.5,0.00935430,-0.00886407,-0.00300141,0.00353219
-8.0,0.00872188,-0.00803802,-0.00094604,0.00152794
-8.5,-0.00248431,0.00300410,0.00301562,-0.00242352
-9.0,-0.00795073,0.00874931,0.00296371,-0.00239357
-9.5,-0.01215403,0.01285110,-0.00077129,0.00084934
-10.0,-0.00990723,0.01052660,-0.00281863,0.00339773
-10.5,0.00354173,-0.00294897,-0.00126651,0.00177371
-11.0,0.00995103,-0.00931033,0.00057634,-0.00003657
-11.5,0.01217512,-0.01161937,0.00156195,-0.00104554
-12.0,0.01270338,-0.01237677,0.00018720,-0.00003083
-12.5,0.01191427,-0.01133625,-0.00313517,0.00358113
-13.0,0.00837347,-0.00801397,-0.00482688,0.00533141
-13.5,0.00677556,-0.00620741,-0.00371373,0.00422308
-14.0,0.00567587,-0.00513610,-0.00244282,0.00292954
-14.5,0.00329820,-0.00262960,-0.00113994,0.00151762
-15.0,0.00345576,-0.00280813,-0.00333255,0.00394061
-15.5,0.00626242,-0.00597953,-0.00634784,0.00678227
-16.0,0.01855688,-0.01786860,-0.00315576,0.00351260
-16.5,0.03060738,-0.03009630,0.00628561,-0.00544419
-17.0,0.02863199,-0.02820406,0.00875523,-0.00876243
-17.5,0.02154932,-0.02128739,0.00342358,-0.00369358
-18.0,0.01411238,-0.01368489,-0.00075622,0.00080318
-18.5,0.00950002,-0.00909902,-0.00278668,0.00331944
-19.0,0.00594151,-0.00530155,-0.00322276,0.00376805
-19.5,0.00185819,-0.00121092,-0.00406021,0.00441264
-20.0,-0.00016084,0.00058465,-0.00628833,0.00682635
-20.5,0.00264948,-0.00229672,-0.00850448,0.00853360
-21.0,0.00417077,-0.00387859,-0.01095061,0.01103457
-21.5,0.00513944,-0.00499494,-0.01132891,0.01170400
-22.0,0.00458483,-0.00399351,-0.00933308,0.00944895
-22.5,0.00428387,-0.00407022,-0.00688145,0.00701176
-23.0,0.00633771,-0.00569054,-0.00420857,0.00435695
-23.5,0.00570006,-0.00500259,-0.00817972,0.00839071
-24.0,0.00760140,-0.00736848,-0.01307504,0.01311246
-24.5,0.00987055,-0.00968261,-0.01135035,0.01142027
-25.0,0.01226896,-0.01198472,-0.00429799,0.00447499
-25.5,0.00932436,-0.00905263,-0.00050572,0.00097412
-26.0,0.00154456,-0.00095885,-0.00262482,0.00254683
