RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVPM
Borehole,IN-TVPM-63
Probe Serial#,24000000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),01/25/2023,12:59:53
Depth,-26.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01041475,-0.00946634,-0.00217747,0.00369947
-1.0,0.01116206,-0.01024309,-0.00300561,0.00443122
-1.5,0.01131132,-0.01047939,-0.00408157,0.00530374
-2.0,0.00945443,-0.00866104,-0.00473710,0.00583464
-2.5,0.00782241,-0.00712428,-0.00465766,0.00537089
-3.0,0.00801977,-0.00709199,-0.00090642,0.00194545
-3.5,0.00598671,-0.00531018,-0.00086428,0.00193609
-4.0,0.00800391,-0.00708498,-0.00631368,0.00735077
-4.5,0.00575260,-0.00496715,-0.01087548,0.01186140
-5.0,0.00556238,-0.00465957,-0.01089323,0.01183010
-5.5,0.00515670,-0.00444243,-0.00853768,0.00958127
-6.0,0.00549359,-0.00462568,-0.00682312,0.00778524
-6.5,0.00841362,-0.00760804,-0.00326594,0.00434723
-7.0,0.00898948,-0.00817041,-0.00230838,0.00322459
-7.5,0.00921962,-0.00852249,-0.00288959,0.00377088
-8.0,0.00861455,-0.00776785,-0.00071327,0.00166144
-8.5,-0.00286227,0.00365763,0.00317635,-0.00220322
-9.0,-0.00811257,0.00903882,0.00305136,-0.00196488
-9.5,-0.01240547,0.01321729,-0.00066197,0.00168127
-10.0,-0.00977302,0.01052283,-0.00266935,0.00368126
-10.5,0.00438960,-0.00364683,-0.00108474,0.00198380
-11.0,0.00990336,-0.00908540,0.00061000,0.00038634
-11.5,0.01212015,-0.01137012,0.00185652,-0.00084449
-12.0,0.01270486,-0.01181446,0.00019302,0.00071722
-12.5,0.01178563,-0.01104436,-0.00294747,0.00385923
-13.0,0.00808842,-0.00729508,-0.00466570,0.00559711
-13.5,0.00668999,-0.00581740,-0.00330562,0.00427513
-14.0,0.00541730,-0.00454614,-0.00210942,0.00313186
-14.5,0.00309712,-0.00229001,-0.00088202,0.00184722
-15.0,0.00333204,-0.00253010,-0.00349750,0.00450831
-15.5,0.00705138,-0.00618408,-0.00629781,0.00718688
-16.0,0.02030491,-0.01955501,-0.00219961,0.00306132
-16.5,0.03053715,-0.02980689,0.00647303,-0.00557411
-17.0,0.02840340,-0.02753776,0.00887330,-0.00784798
-17.5,0.02096151,-0.02015262,0.00312100,-0.00220664
-18.0,0.01366291,-0.01281315,-0.00080382,0.00160686
-18.5,0.00905101,-0.00822691,-0.00269429,0.00367623
-19.0,0.00570108,-0.00485995,-0.00296267,0.00393761
-19.5,0.00159051,-0.00070591,-0.00388469,0.00480958
-20.0,-0.00011611,0.00086297,-0.00621217,0.00710063
-20.5,0.00327096,-0.00249421,-0.00823012,0.00930358
-21.0,0.00431309,-0.00335533,-0.01059238,0.01163461
-21.5,0.00560911,-0.00475082,-0.01093331,0.01183889
-22.0,0.00438395,-0.00357394,-0.00844338,0.00943495
-22.5,0.00496012,-0.00415031,-0.00584219,0.00682841
-23.0,0.00629314,-0.00547091,-0.00391394,0.00479575
-23.5,0.00566068,-0.00480447,-0.00881421,0.01000155
-24.0,0.00839517,-0.00760966,-0.01321542,0.01408978
-24.5,0.01054859,-0.00988290,-0.01022790,0.01107654
-25.0,0.01267939,-0.01185314,-0.00345775,0.00423955
-25.5,0.00874523,-0.00792536,-0.00036650,0.00128587
-26.0,0.00125398,-0.00022896,-0.00250142,0.00356381
