RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,TVPM
Borehole,IN-TVPM-63
Probe Serial#,24000000,Cal Date (m/d/y),04/22/2020
Reel Serial#,33280000
Reading Date(m/d/y),01/25/2023,10:12:17
Depth,-26.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01039586,-0.00931035,-0.00316578,0.00425739
-1.0,0.01111302,-0.01007214,-0.00378995,0.00490739
-1.5,0.01126748,-0.01035191,-0.00457560,0.00562781
-2.0,0.00945744,-0.00864286,-0.00486401,0.00590307
-2.5,0.00781898,-0.00713071,-0.00464343,0.00540002
-3.0,0.00801658,-0.00710470,-0.00087998,0.00195006
-3.5,0.00599118,-0.00530797,-0.00086520,0.00193877
-4.0,0.00799731,-0.00709209,-0.00633199,0.00735763
-4.5,0.00574759,-0.00494050,-0.01088693,0.01182351
-5.0,0.00556662,-0.00465664,-0.01088758,0.01182679
-5.5,0.00513573,-0.00443935,-0.00853678,0.00958508
-6.0,0.00549866,-0.00462680,-0.00678909,0.00778727
-6.5,0.00843082,-0.00763160,-0.00324201,0.00425682
-7.0,0.00899572,-0.00817865,-0.00230778,0.00321225
-7.5,0.00920471,-0.00851830,-0.00289096,0.00377269
-8.0,0.00860765,-0.00776028,-0.00070009,0.00165395
-8.5,-0.00291181,0.00366973,0.00320775,-0.00217717
-9.0,-0.00813703,0.00904071,0.00303181,-0.00197218
-9.5,-0.01240429,0.01322110,-0.00067314,0.00168269
-10.0,-0.00974281,0.01051247,-0.00265852,0.00367646
-10.5,0.00441395,-0.00367490,-0.00107133,0.00197796
-11.0,0.00990853,-0.00907826,0.00061879,0.00033888
-11.5,0.01212168,-0.01138172,0.00185634,-0.00086004
-12.0,0.01269050,-0.01183071,0.00018807,0.00072760
-12.5,0.01177231,-0.01102038,-0.00295149,0.00385983
-13.0,0.00807076,-0.00726976,-0.00465863,0.00560087
-13.5,0.00667381,-0.00581006,-0.00328585,0.00426807
-14.0,0.00540717,-0.00454582,-0.00212224,0.00312299
-14.5,0.00308607,-0.00230287,-0.00083844,0.00182591
-15.0,0.00332992,-0.00253259,-0.00348030,0.00452565
-15.5,0.00708326,-0.00621202,-0.00626549,0.00716744
-16.0,0.02034993,-0.01961850,-0.00218594,0.00300694
-16.5,0.03054023,-0.02979402,0.00651268,-0.00558915
-17.0,0.02838106,-0.02754346,0.00887465,-0.00784018
-17.5,0.02092653,-0.02013847,0.00308949,-0.00217944
-18.0,0.01363461,-0.01278949,-0.00073217,0.00162265
-18.5,0.00902561,-0.00820157,-0.00271048,0.00370732
-19.0,0.00567973,-0.00483250,-0.00297991,0.00395518
-19.5,0.00157485,-0.00069329,-0.00393258,0.00478125
-20.0,-0.00021056,0.00086295,-0.00619822,0.00712011
-20.5,0.00328280,-0.00243252,-0.00825312,0.00927288
-21.0,0.00430017,-0.00341572,-0.01059176,0.01165263
-21.5,0.00560005,-0.00476595,-0.01092703,0.01185206
-22.0,0.00437122,-0.00361644,-0.00846381,0.00946306
-22.5,0.00495309,-0.00399388,-0.00581775,0.00684559
-23.0,0.00628821,-0.00545522,-0.00389917,0.00482023
-23.5,0.00566083,-0.00480506,-0.00880572,0.01000096
-24.0,0.00839542,-0.00761658,-0.01320738,0.01408396
-24.5,0.01053420,-0.00988342,-0.01021058,0.01106573
-25.0,0.01266119,-0.01184882,-0.00344669,0.00424046
-25.5,0.00873558,-0.00792820,-0.00035276,0.00127844
-26.0,0.00124535,0.00332273,-0.00249816,0.00125363
