RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E-16
Borehole,1.1
Probe Serial#,23720000,Cal Date (m/d/y),06/05/2023
Reel Serial#,32500000
Reading Date(m/d/y),07/18/2024,13:37:38
Depth,-20.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.0116268,-0.0109365,0.0053202,-0.0048292
-1.0,0.0118401,-0.0107817,0.0050997,-0.0048677
-1.5,0.0109259,-0.009993,0.004936,-0.0048576
-2.0,0.0095782,-0.0085386,0.0048576,-0.0047202
-2.5,0.0072047,-0.0063443,0.0056966,-0.0057901
-3.0,0.0041683,-0.0030862,0.0048813,-0.0046827
-3.5,0.0020359,-0.0010321,0.004368,-0.0042366
-4.0,0.0012127,-0.0001596,0.00316601,-0.00304
-4.5,0.0021379,-0.0011895,0.0013198,-0.001123
-5.0,0.0020797,-0.0011097,0.0003174,-0.0001744
-5.5,0.0025789,-0.0013725,0.0001195,0.00009
-6.0,0.0032163,-0.0025839,0.0003919,-0.0004472
-6.5,0.0024927,-0.001458,0.0011093,-0.0009471
-7.0,0.0016055,-0.0006089,0.0012298,-0.0011314
-7.5,0.0005121,0.0004578,0.0011295,-0.0009749
-8.0,-0.0000923,0.0011518,0.0013537,-0.0012694
-8.5,-0.0001887,0.0012544,0.0023565,-0.002038
-9.0,-0.0016965,0.0025216,0.0005503,-0.0008018
-9.5,-0.0022226,0.0032749,0.0004872,-0.0003644
-10.0,-0.0016298,0.0026448,0.0007689,-0.0006705
-10.5,0.0006919,0.0002522,-0.0013582,0.0014777
-11.0,0.00053,0.0004125,-0.0028051,0.0029015
-11.5,-0.0007386,0.0017996,-0.0019121,0.0023167
-12.0,-0.0035183,0.0040862,0.0004693,-0.0006897
-12.5,-0.0057921,0.0067304,0.0034657,-0.0034087
-13.0,-0.0078908,0.0088698,0.0058642,-0.0057273
-13.5,-0.0100104,0.0110845,0.006948,-0.0068751
-14.0,-0.0115113,0.01245,0.0072765,-0.007164
-14.5,-0.0110801,0.0118356,0.0067743,-0.0063647
-15.0,-0.0057901,0.0069396,0.0056136,-0.0060234
-15.5,-0.0042158,0.0052266,0.0069025,-0.0068092
-16.0,-0.0023594,0.0034038,0.0071591,-0.0070908
-16.5,0.0001282,0.0008524,0.0057,-0.0056142
-17.0,0.0030041,-0.0020263,0.0033417,-0.0032889
-17.5,0.0060094,-0.0051144,0.0014722,-0.0011577
-18.0,0.007803,-0.006701,-0.0003217,0.0000802
-18.5,0.0099981,-0.0090426,-0.0030139,0.0031214
-19.0,0.0119461,-0.0110082,-0.0067172,0.0067657
-19.5,0.0119462,-0.0109221,-0.0103653,0.0103525
-20.0,0.0110611,-0.0101053,-0.0130328,0.0128707
-20.5,0.0104211,-0.0094249,-0.0138955,0.0141305


