RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,Rozmarin Jerusalem
Borehole,1 E
Probe Serial#,38560000,Cal Date (m/d/y),12/22/2025
Reel Serial#,54530000
Reading Date(m/d/y),01/26/2026,10:33:31
Depth,-20.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01188132,-0.01209220,0.00360126,-0.00438256
-1.0,0.01196692,-0.01102758,0.00441606,-0.00424514
-1.5,0.01116266,-0.01020864,0.00494235,-0.00481036
-2.0,0.00992370,-0.00897492,0.00483745,-0.00473040
-2.5,0.00754585,-0.00670008,0.00601609,-0.00528139
-3.0,0.00461588,-0.00356396,0.00491686,-0.00521271
-3.5,0.00218432,-0.00126824,0.00450627,-0.00434725
-4.0,0.00118804,-0.00022634,0.00333625,-0.00320462
-4.5,0.00216705,-0.00124038,0.00144494,-0.00127523
-5.0,0.00224813,-0.00129400,0.00033052,-0.00012458
-5.5,0.00250978,-0.00146781,0.00011238,0.00024122
-6.0,0.00348931,-0.00265856,0.00034941,-0.00034365
-6.5,0.00266802,-0.00169714,0.00110168,-0.00090020
-7.0,0.00168875,-0.00080220,0.00127612,-0.00104361
-7.5,0.00075132,0.00020457,0.00108814,-0.00093777
-8.0,-0.00007227,0.00101250,0.00134589,-0.00120530
-8.5,-0.00011143,0.00104438,0.00251157,-0.00197643
-9.0,-0.00158548,0.00246646,0.00072417,-0.00079859
-9.5,-0.00220813,0.00312524,0.00050819,-0.00034861
-10.0,-0.00182517,0.00276516,0.00087079,-0.00072246
-10.5,0.00063596,0.00029258,-0.00113646,0.00131844
-11.0,0.00060291,0.00029730,-0.00271801,0.00293278
-11.5,-0.00068842,0.00135815,-0.00202798,0.00237959
-12.0,-0.00291894,0.00408214,0.00029582,-0.00027242
-12.5,-0.00552742,0.00641742,0.00339213,-0.00317320
-13.0,-0.00776485,0.00864517,0.00582393,-0.00566310
-13.5,-0.00983936,0.01072825,0.00704948,-0.00689287
-14.0,-0.01145351,0.01234006,0.00745057,-0.00731411
-14.5,-0.01129636,0.01206359,0.00687691,-0.00671543
-15.0,-0.00601544,0.00710915,0.00590700,-0.00557816
-15.5,-0.00434008,0.00520475,0.00691453,-0.00678117
-16.0,-0.00249817,0.00345156,0.00724586,-0.00708633
-16.5,-0.00006104,0.00090370,0.00593662,-0.00573171
-17.0,0.00275563,-0.00187254,0.00356284,-0.00337789
-17.5,0.00478736,-0.00488499,0.00213030,-0.00128236
-18.0,0.00762266,-0.00668809,0.00006495,0.00016249
-18.5,0.00974152,-0.00891587,-0.00282774,0.00301838
-19.0,0.01176115,-0.01092285,-0.00646449,0.00664199
-19.5,0.01192773,-0.01098853,-0.01006347,0.01020157
-20.0,0.01103777,-0.01015670,-0.01266646,0.01281916
-20.5,0.01034011,-0.00936676,-0.01399003,0.01419448
