RST Digital Inclinometer Data
File Version,2.21
File Type,Digital Inclinometer
Site,rozmarin
Borehole,Borehole_1
Probe Serial#,DP22000000,Cal Date (m/d/y),03/11/2019
Reel Serial#,DR26840000
Reading Date(m/d/y),01/16/2025,10:34:51
Depth,-20.5,0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,Joshua
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01122230,-0.01127422,0.00477216,-0.00453635
-1.0,0.01046741,-0.01065927,0.00488581,-0.00475535
-1.5,0.00977888,-0.00992510,0.00479214,-0.00466503
-2.0,0.00610236,-0.00622728,0.00569528,-0.00552055
-2.5,0.00525181,-0.00540376,0.00556850,-0.00541012
-3.0,0.00329505,-0.00335828,0.00480711,-0.00472968
-3.5,0.00083491,-0.00101518,0.00379318,-0.00362881
-4.0,0.00073867,-0.00083430,0.00321206,-0.00308863
-4.5,0.00172849,-0.00186281,0.00062653,-0.00051265
-5.0,0.00159187,-0.00174570,0.00029729,-0.00019822
-5.5,0.00188408,-0.00190189,0.00014015,0.00005490
-6.0,0.00276647,-0.00298708,0.00079316,-0.00061265
-6.5,0.00200257,-0.00211997,0.00110031,-0.00094737
-7.0,0.00105291,-0.00119809,0.00123544,-0.00114284
-7.5,0.00005147,-0.00021728,0.00110866,-0.00096093
-8.0,-0.00066319,0.00053870,0.00136197,-0.00122212
-8.5,-0.00106954,0.00098246,0.00196871,-0.00182700
-9.0,-0.00205971,0.00194968,0.00045880,-0.00066924
-9.5,-0.00276088,0.00262047,0.00051258,-0.00036796
-10.0,-0.00232046,0.00218334,0.00082673,-0.00066389
-10.5,0.00005594,-0.00026557,-0.00109225,0.00135147
-11.0,-0.00009721,-0.00012265,-0.00277469,0.00293581
-11.5,-0.00122617,0.00113385,-0.00196843,0.00239459
-12.0,-0.00349016,0.00333888,0.00027616,-0.00044883
-12.5,-0.00695803,0.00682228,0.00428173,-0.00423728
-13.0,-0.00832732,0.00815721,0.00576479,-0.00569458
-13.5,-0.01047187,0.01041594,0.00701812,-0.00689869
-14.0,-0.01197799,0.01183243,0.00738530,-0.00717887
-14.5,-0.01174162,0.01147010,0.00677601,-0.00662460
-15.0,-0.00679864,0.00659895,0.00582630,-0.00558530
-15.5,-0.00487506,0.00476101,0.00682924,-0.00672927
-16.0,-0.00297375,0.00287471,0.00720848,-0.00708598
-16.5,-0.00063158,0.00043765,0.00593594,-0.00571580
-17.0,0.00217653,-0.00236120,0.00357828,-0.00341752
-17.5,0.00537461,-0.00557089,0.00150506,-0.00108855
-18.0,0.00703377,-0.00720369,0.00009470,0.00013246
-18.5,0.00912388,-0.00932050,-0.00269483,0.00288069
-19.0,0.01114096,-0.01133935,-0.00625705,0.00640684
-19.5,0.01138785,-0.01155138,-0.00978897,0.00997047
-20.0,0.01055327,-0.01073962,-0.01246219,0.01258469
-20.5,0.00972676,-0.00988392,-0.01395900,0.01406435
