Site Name: rozmarin Jerusalem 
Borehole Name: 1.1
Borehole Depth: 20.5 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: yair
Probe Serial Number: DPI0354
Reel Serial Number: 520
Survey Date: 20250828_103102
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
29124, 0.5, 0.0232544, 0.0083364, 11.6272, 4.1682, -0.0208006, -0.0054754, -10.4003, -2.7377, 21.5469, 21.1641,  null, null, null, null, 1.2269, 1.4305, 11.01375, 3.45295,  null, null, 59.35855, 50.89441,  null, null,  null, null, 
29123, 1.0, 0.023201, 0.0111804, 11.6005, 5.5902, -0.020343, -0.008479, -10.1715, -4.2395, 21.5, 21.1641,  null, null, null, null, 1.429, 1.3507, 10.886, 4.91485,  null, null, 48.344803, 47.44146,  null, null,  null, null, 
29122, 1.5, 0.0212222, 0.012385, 10.6111, 6.19251, -0.0185618, -0.0095084, -9.2809, -4.7542, 21.5078, 21.1406,  null, null, null, null, 1.3302, 1.43831, 9.946, 5.473355,  null, null, 37.458805, 42.526608,  null, null,  null, null, 
29121, 2.0, 0.0185736, 0.0122278, 9.2868, 6.1139, -0.0157334, -0.009472, -7.8667, -4.736, 21.4844, 21.0781,  null, null, null, null, 1.4201, 1.3779, 8.57675, 5.42495,  null, null, 27.512804, 37.053253,  null, null,  null, null, 
29120, 2.5, 0.0152276, 0.012641, 7.6138, 6.3205, -0.0124792, -0.0102232, -6.2396, -5.1116, 21.5, 21.0547,  null, null, null, null, 1.3742, 1.2089, 6.9267, 5.71605,  null, null, 18.936054, 31.628304,  null, null,  null, null, 
29119, 3.0, 0.0090156, 0.0120346, 4.5078, 6.0173, -0.007325, -0.008949, -3.6625, -4.4745, 21.5, 21.0469,  null, null, null, null, 0.8453, 1.5428, 4.08515, 5.2459,  null, null, 12.009354, 25.912254,  null, null,  null, null, 
29118, 3.5, 0.0029254, 0.0116192, 1.4627, 5.8096, -0.0032428, -0.005708, -1.6214, -2.854, 21.5078, 21.0469,  null, null, null, null, -0.1587, 2.9556, 1.54205, 4.3318,  null, null, 7.924204, 20.666355,  null, null,  null, null, 
29117, 4.0, 0.0013038, 0.0092784, 0.6519, 4.6392, -0.001176, -0.0039216, -0.588, -1.9608, 21.5078, 21.0312,  null, null, null, null, 0.0639, 2.6784, 0.61995, 3.3,  null, null, 6.382154, 16.334555,  null, null,  null, null, 
29116, 4.5, 0.0032216, 0.00566881, 1.6108, 2.83441, -0.00364, 7.786E-4, -1.82, 0.3893, 21.5391, 21.0156,  null, null, null, null, -0.2092, 3.22371, 1.7154, 1.222555,  null, null, 5.762204, 13.0345545,  null, null,  null, null, 
29115, 5.0, 0.0032046, 0.00325541, 1.6023, 1.6277, -0.0035232, 0.002548, -1.7616, 1.274, 21.6016, 21.0625,  null, null, null, null, -0.1593, 2.9017, 1.68195, 0.17685,  null, null, 4.0468044, 11.811999,  null, null,  null, null, 
