Site Name: rozmarin Jerusalem 
Borehole Name: 1.1
Borehole Depth: 20.5 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: 
Probe Serial Number: DPI0189
Reel Serial Number: 520
Survey Date: 20240718_133738
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
15406, 0.5, 0.0232536, 0.0106404, 11.6268, 5.3202, -0.021873, -0.0096584, -10.9365, -4.8292, 22.2891, 22.4297,  null, null, null, null, 0.6903, 0.491, 11.28165, 5.0747,  null, null, 58.154446, 55.048756,  null, null,  null, null, 
15405, 1.0, 0.0236802, 0.0101994, 11.8401, 5.0997, -0.0215634, -0.0097354, -10.7817, -4.8677, 22.2812, 22.3047,  null, null, null, null, 1.0584, 0.232, 11.3109, 4.9837,  null, null, 46.872795, 49.974056,  null, null,  null, null, 
15404, 1.5, 0.0218518, 0.009872, 10.9259, 4.936, -0.019986, -0.0097152, -9.993, -4.8576, 22.2344, 22.2422,  null, null, null, null, 0.9329, 0.0784, 10.45945, 4.8968,  null, null, 35.561897, 44.990356,  null, null,  null, null, 
15403, 2.0, 0.0191564, 0.0097152, 9.5782, 4.8576, -0.0170772, -0.0094404, -8.5386, -4.7202, 22.2188, 22.2188,  null, null, null, null, 1.0396, 0.1374, 9.0584, 4.7889,  null, null, 25.102448, 40.093555,  null, null,  null, null, 
15402, 2.5, 0.0144094, 0.0113932, 7.2047, 5.6966, -0.0126886, -0.0115802, -6.3443, -5.7901, 22.1953, 22.1484,  null, null, null, null, 0.8604, -0.0935, 6.7745, 5.74335,  null, null, 16.044048, 35.304657,  null, null,  null, null, 
15401, 3.0, 0.0083366, 0.0097626, 4.1683, 4.8813, -0.0061724, -0.0093654, -3.0862, -4.6827, 22.1406, 22.1484,  null, null, null, null, 1.0821, 0.1986, 3.62725, 4.782,  null, null, 9.269549, 29.561306,  null, null,  null, null, 
15400, 3.5, 0.0040718, 0.008736, 2.0359, 4.368, -0.0020642, -0.0084732, -1.0321, -4.2366, 22.1172, 22.1484,  null, null, null, null, 1.0038, 0.1314, 1.534, 4.3023,  null, null, 5.642299, 24.779306,  null, null,  null, null, 
15399, 4.0, 0.0024254, 0.00633201, 1.2127, 3.16601, -3.192E-4, -0.00608, -0.1596, -3.04, 22.1641, 22.1484,  null, null, null, null, 1.0531, 0.12601, 0.68615, 3.103005,  null, null, 4.1082993, 20.477007,  null, null,  null, null, 
15398, 4.5, 0.0042758, 0.0026396, 2.1379, 1.3198, -0.002379, -0.002246, -1.1895, -1.123, 22.125, 22.1094,  null, null, null, null, 0.9484, 0.1968, 1.6637, 1.2214,  null, null, 3.4221492, 17.374002,  null, null,  null, null, 
15397, 5.0, 0.0041594, 6.348E-4, 2.0797, 0.3174, -0.0022194, -3.488E-4, -1.1097, -0.1744, 22.1328, 22.1484,  null, null, null, null, 0.97, 0.143, 1.5947, 0.2459,  null, null, 1.7584491, 16.152603,  null, null,  null, null, 
