Site Name: rozmarin Jerusalem 
Borehole Name: 1.1
Borehole Depth: 20.5 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: 1.1
Probe Serial Number: DPI0354
Reel Serial Number: 520
Survey Date: 20251116_134743
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
38518, 0.5, 0.0232134, 0.00775362, 11.6067, 3.87681, -0.0195982, -0.004728, -9.7991, -2.364, 21.0625, 20.2656,  null, null, null, null, 1.8076, 1.51281, 10.7029, 3.120405,  null, null, 55.365047, 54.9709,  null, null,  null, null, 
38517, 1.0, 0.0241426, 0.0111288, 12.0713, 5.5644, -0.0198802, -0.007845, -9.9401, -3.9225, 21.1641, 20.2812,  null, null, null, null, 2.1312, 1.6419, 11.0057, 4.74345,  null, null, 44.662148, 51.8505,  null, null,  null, null, 
38516, 1.5, 0.022044, 0.0125666, 11.022, 6.2833, -0.0181904, -0.0089676, -9.0952, -4.4838, 21.2109, 20.2969,  null, null, null, null, 1.9268, 1.7995, 10.0586, 5.38355,  null, null, 33.65645, 47.107048,  null, null,  null, null, 
38515, 2.0, 0.019305, 0.01229, 9.6525, 6.145, -0.0150878, -0.0089734, -7.5439, -4.4867, 21.2656, 20.3594,  null, null, null, null, 2.1086, 1.6583, 8.5982, 5.31585,  null, null, 23.597849, 41.7235,  null, null,  null, null, 
38514, 2.5, 0.015836, 0.0128698, 7.918, 6.4349, -0.0116694, -0.0099374, -5.8347, -4.9687, 21.2656, 20.3594,  null, null, null, null, 2.0833, 1.4662, 6.87635, 5.7018,  null, null, 14.999649, 36.40765,  null, null,  null, null, 
38513, 3.0, 0.008159, 0.0127974, 4.0795, 6.3987, -0.0063604, -0.0086932, -3.1802, -4.3466, 21.2969, 20.3516,  null, null, null, null, 0.8993, 2.0521, 3.62985, 5.37265,  null, null, 8.123299, 30.705849,  null, null,  null, null, 
38512, 3.5, 0.0035464, 0.0121016, 1.7732, 6.05081, -0.0024528, -0.0056128, -1.2264, -2.8064, 21.375, 20.3516,  null, null, null, null, 0.5468, 3.24441, 1.4998, 4.428605,  null, null, 4.4934483, 25.333199,  null, null,  null, null, 
38511, 4.0, 0.0021716, 0.00923, 1.0858, 4.615, -2.622E-4, -0.0038754, -0.1311, -1.9377, 21.4219, 20.3906,  null, null, null, null, 0.9547, 2.6773, 0.60845, 3.27635,  null, null, 2.9936485, 20.904594,  null, null,  null, null, 
38510, 4.5, 0.0040622, 0.00542881, 2.0311, 2.71441, -0.0028802, 9.956E-4, -1.4401, 0.4978, 21.5078, 20.3906,  null, null, null, null, 0.591, 3.21221, 1.7356, 1.108305,  null, null, 2.3851986, 17.628244,  null, null,  null, null, 
38509, 5.0, 0.0039978, 0.003019, 1.9989, 1.5095, -0.0027252, 0.0028418, -1.3626, 1.4209, 21.5078, 20.3984,  null, null, null, null, 0.6363, 2.9304, 1.68075, 0.0443,  null, null, 0.6495985, 16.51994,  null, null,  null, null, 
38508, 5.5, 0.0054614, 0.0015268, 2.7307, 0.7634, -0.0012368, 0.0017942, -0.6184, 0.8971, 21.5391, 20.3828,  null, null, null, null, 2.1123, 1.6605, 1.67455, -0.06685,  null, null, -1.0311515, 16.47564,  null, null,  null, null, 
38507, 6.0, 0.0071412, 0.0020038, 3.5706, 1.0019, -0.0030226, -9.3E-5, -1.5113, -0.0465, 21.5938, 20.3828,  null, null, null, null, 2.0593, 0.9554, 2.54095, 0.5242,  null, null, -2.7057016, 16.54249,  null, null,  null, null, 
