Site Name: rozmarin Jerusalem 
Borehole Name: 1.1
Borehole Depth: 20.5 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: 1.2
Probe Serial Number: SETPWR Power ON
Reel Serial Number: 520
Survey Date: 20251116_143320
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
38559, 0.5, 0.0232306, 0.0066798, 11.6153, 3.3399, -0.0191572, -0.004959, -9.5786, -2.4795, 17.2344, 19.625,  null, null, null, null, 2.0367, 0.8604, 10.59695, 2.9097,  null, null, 54.844906, 52.115906,  null, null,  null, null, 
38558, 1.0, 0.0244504, 0.0107714, 12.2252, 5.3857, -0.0197252, -0.0079188, -9.8626, -3.9594, 20.0391, 19.6094,  null, null, null, null, 2.3626, 1.4263, 11.0439, 4.67255,  null, null, 44.247955, 49.206207,  null, null,  null, null, 
38557, 1.5, 0.0222436, 0.0118918, 11.1218, 5.9459, -0.0181004, -0.0090036, -9.0502, -4.5018, 20.0938, 19.625,  null, null, null, null, 2.0716, 1.4441, 10.086, 5.22385,  null, null, 33.204056, 44.533657,  null, null,  null, null, 
38556, 2.0, 0.0195548, 0.0118522, 9.7774, 5.9261, -0.0150472, -0.008985, -7.5236, -4.4925, 20.1094, 19.625,  null, null, null, null, 2.2538, 1.4336, 8.6505, 5.2093,  null, null, 23.118055, 39.309807,  null, null,  null, null, 
38555, 2.5, 0.0157448, 0.0131248, 7.8724, 6.5624, -0.0116386, -0.010006, -5.8193, -5.003, 20.1094, 19.6094,  null, null, null, null, 2.0531, 1.5594, 6.84585, 5.7827,  null, null, 14.467555, 34.100506,  null, null,  null, null, 
38554, 3.0, 0.0081266, 0.012684, 4.0633, 6.342, -0.0062896, -0.0086646, -3.1448, -4.3323, 20.0938, 19.5625,  null, null, null, null, 0.9185, 2.0097, 3.60405, 5.33715,  null, null, 7.621705, 28.317806,  null, null,  null, null, 
38553, 3.5, 0.0035824, 0.0116492, 1.7912, 5.8246, -0.002436, -0.0052092, -1.218, -2.6046, 20.0781, 19.5781,  null, null, null, null, 0.5732, 3.22, 1.5046, 4.2146,  null, null, 4.017655, 22.980656,  null, null,  null, null, 
38552, 4.0, 0.0022236, 0.00919542, 1.1118, 4.59771, -4.084E-4, -0.003726, -0.2042, -1.863, 20.0625, 19.5781,  null, null, null, null, 0.9076, 2.73471, 0.658, 3.230355,  null, null, 2.5130548, 18.766056,  null, null,  null, null, 
38551, 4.5, 0.0040786, 0.005582, 2.0393, 2.791, -0.0028466, 8.088E-4, -1.4233, 0.4044, 20.0625, 19.5547,  null, null, null, null, 0.616, 3.1954, 1.7313, 1.1933,  null, null, 1.8550547, 15.535701,  null, null,  null, null, 
38550, 5.0, 0.0043578, 0.0028348, 2.1789, 1.4174, -0.0027054, 0.0027748, -1.3527, 1.3874, 20.1094, 19.5547,  null, null, null, null, 0.8262, 2.8048, 1.7658, 0.015,  null, null, 0.12375474, 14.342401,  null, null,  null, null, 
38549, 5.5, 0.0068136, 7.91802E-4, 3.4068, 0.395901, -0.001219, 0.0018284, -0.6095, 0.9142, 20.1094, 19.5156,  null, null, null, null, 2.7973, 1.310101, 2.00815, -0.2591495,  null, null, -1.6420453, 14.3274,  null, null,  null, null, 
38548, 6.0, 0.007337, 0.0022146, 3.6685, 1.1073, -0.0028812, -1.944E-4, -1.4406, -0.0972, 20.1016, 19.4688,  null, null, null, null, 2.2279, 1.0101, 2.55455, 0.60225,  null, null, -3.6501954, 14.58655,  null, null,  null, null, 
38547, 6.5, 0.0048358, 0.00498821, 2.4179, 2.4941, -6.578E-4, -0.0011324, -0.3289, -0.5662, 20.1016, 19.4297,  null, null, null, null, 2.089, 1.9279, 1.3734, 1.53015,  null, null, -6.2047453, 13.9843,  null, null,  null, null, 
38546, 7.0, 0.0030956, 0.0054762, 1.5478, 2.7381, 9.728E-4, -0.0016896, 0.4864, -0.8448, 20.1016, 19.4297,  null, null, null, null, 2.0342, 1.8933, 0.5307, 1.79145,  null, null, -7.5781455, 12.454149,  null, null,  null, null, 
38545, 7.5, 9.902E-4, 0.0053572, 0.4951, 2.6786, 0.0030796, -0.0013758, 1.5398, -0.6879, 20.0938, 19.3906,  null, null, null, null, 2.0349, 1.9907, -0.52235, 1.68325,  null, null, -8.108846, 10.662699,  null, null,  null, null, 
38544, 8.0, -1.572E-4, 0.005327, -0.0786, 2.6635, 0.0044466, -0.0017996, 2.2233, -0.8998, 20.0703, 19.3594,  null, null, null, null, 2.1447, 1.7637, -1.15095, 1.78165,  null, null, -7.5864954, 8.979449,  null, null,  null, null, 
38543, 8.5, 5.55E-4, 0.006331, 0.2775, 3.1655, 0.0036556, -0.003228, 1.8278, -1.614, 20.0703, 19.3125,  null, null, null, null, 2.1053, 1.5515, -0.77515, 2.38975,  null, null, -6.4355454, 7.197799,  null, null,  null, null, 
38542, 9.0, -0.0031372, 0.0032544, -1.5686, 1.6272, 0.0049078, 5.796E-4, 2.4539, 0.2898, 20.0234, 19.3125,  null, null, null, null, 0.8853, 1.917, -2.01125, 0.6687,  null, null, -5.6603956, 4.808049,  null, null,  null, null, 
38541, 9.5, -0.0046442, 0.004233, -2.3221, 2.1165, 0.0062228, 0.0020498, 3.1114, 1.0249, 20.0234, 19.25,  null, null, null, null, 0.7893, 3.1414, -2.71675, 0.5458,  null, null, -3.6491454, 4.139349,  null, null,  null, null, 
38540, 10.0, -0.0032556, 0.0046776, -1.6278, 2.3388, 0.0048136, 0.001256, 2.4068, 0.628, 20.0391, 19.2578,  null, null, null, null, 0.779, 2.9668, -2.0173, 0.8554,  null, null, -0.93239546, 3.5935488,  null, null,  null, null, 
38539, 10.5, 0.0010978, 2.902E-4, 0.5489, 0.1451, 2.332E-4, 0.0061018, 0.1166, 3.0509, 20.0078, 19.1484,  null, null, null, null, 0.6655, 3.196, 0.21615, -1.4529,  null, null, 1.0849044, 2.7381487,  null, null,  null, null, 
38538, 11.0, 7.016E-4, -0.0027984, 0.3508, -1.3992, 6.274E-4, 0.0088944, 0.3137, 4.4472, 20.0, 19.1484,  null, null, null, null, 0.6645, 3.048, 0.01855, -2.9232,  null, null, 0.86875445, 4.1910486,  null, null,  null, null, 
