RST Digital Inclinometer Data
File Version,2.21
File Type,Digital Inclinometer
Site,rozmarin
Borehole,Borehole14
Probe Serial#,DP17720000,Cal Date (m/d/y),04/05/2019
Reel Serial#,DR26840000
Reading Date(m/d/y),01/12/2025,12:00:04
Depth,-14.0,0.5
Interval,0.5
Depth Units,meters
Reading Units,degrees
Operator,Joshua
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,4.34,-4.25,20.54,-18.36
-1.0,-1.96,2.05,8.86,-6.96
-1.5,-4.97,4.92,3.24,-1.56
-2.0,-9.79,9.62,-5.48,6.71
-2.5,-10.03,9.86,-6.34,7.58
-3.0,-10.05,9.82,-7.84,9.20
-3.5,-8.99,8.72,-9.37,10.52
-4.0,-8.59,8.33,-9.39,10.50
-4.5,-6.50,6.24,-8.27,9.42
-5.0,-6.03,5.76,-7.73,8.89
-5.5,-5.25,5.12,-6.19,7.52
-6.0,-2.30,2.08,-2.26,3.62
-6.5,-1.82,1.59,-2.63,3.95
-7.0,-1.61,1.35,-3.30,4.58
-7.5,-1.12,0.89,-5.09,6.39
-8.0,-0.64,0.44,-6.67,7.99
-8.5,0.66,-0.92,-10.22,11.45
-9.0,1.60,-1.67,-11.94,12.50
-9.5,1.05,-1.28,-11.52,12.68
-10.0,0.07,-0.23,-10.63,11.73
-10.5,-1.13,0.94,-9.07,10.21
-11.0,-1.92,1.73,-7.34,8.57
-11.5,-2.17,1.92,-6.40,7.60
-12.0,-1.07,0.90,-6.92,8.27
-12.5,0.45,-0.73,-7.65,8.87
-13.0,1.30,-1.61,-8.01,9.15
-13.5,2.99,-3.20,-7.08,8.24
-14.0,3.73,-3.81,-6.50,7.71
