RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,E-16
Borehole,15
Probe Serial#,23720000,Cal Date (m/d/y),06/05/2023
Reel Serial#,32500000
Reading Date(m/d/y),07/20/2025,10:30:55
Depth,-14.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.0311789,-0.0318205,-0.0122783,0.0118145
-1.0,0.0212804,-0.0214946,-0.0054696,0.0052511
-1.5,0.0083912,-0.0089075,0.0015264,-0.001243
-2.0,0.0000504,-0.0003203,0.0063748,-0.0063142
-2.5,-0.0055206,0.0052154,0.0097417,-0.0092161
-3.0,-0.0083828,0.0081509,0.009686,-0.0101613
-3.5,-0.0098604,0.0094737,0.009008,-0.00899
-4.0,-0.0102117,0.0098232,0.0084183,-0.0081826
-4.5,-0.0095266,0.0092208,0.0073393,-0.0071486
-5.0,-0.0084417,0.0081109,0.0061071,-0.0062648
-5.5,-0.0071594,0.0064624,0.0052627,-0.0050283
-6.0,-0.0031359,0.0028462,0.0018386,-0.0021455
-6.5,-0.0033282,0.0029345,0.0016437,-0.0016945
-7.0,-0.0040646,0.0036713,0.0016308,-0.0016849
-7.5,-0.005873,0.0054805,0.0010013,-0.0011453
-8.0,-0.0075111,0.0071051,0.0006274,-0.0004945
-8.5,-0.0097087,0.0092987,-0.0000267,0.0005996
-9.0,-0.0123762,0.0120119,-0.0022539,0.0016654
-9.5,-0.012298,0.0119503,-0.0009495,0.0007756
-10.0,-0.0113854,0.0109872,-0.0000145,0.0000372
-10.5,-0.0097773,0.0093644,0.000912,-0.0007929
-11.0,-0.0083135,0.0078888,0.0015235,-0.0013034
-11.5,-0.0070789,0.0066729,0.0022782,-0.0020947
-12.0,-0.0078855,0.0075419,0.0014153,-0.0014068
-12.5,-0.008312,0.0078932,0.0000001,0.0000648
-13.0,-0.0087765,0.0082962,-0.0014303,0.0017482
-13.5,-0.007868,0.0074287,-0.003386,0.0034413
-14.0,-0.0072204,0.0068929,-0.0039908,0.0038699


