RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,rozmarin
Borehole,Borehole_15
Probe Serial#,DP15430000
Reel Serial#,DR26840000
Reading Date(m/d/y),07/29/2025,10:12:03
Depth,-14.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,Omer
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.00078005,-0.00705635,-0.00875435,-0.00369130
-1.0,-0.00039732,0.0,-0.00702849,0.0
-1.5,-0.00096187,0.0,-0.00659992,0.0
-2.0,-0.00440092,0.0,-0.00356521,0.0
-2.5,-0.00450690,0.0,-0.00354663,0.0
-3.0,-0.00560706,0.0,-0.00353648,0.0
-3.5,-0.00771499,0.0,-0.00374763,0.0
-4.0,-0.00827490,0.0,-0.00421631,0.0
-4.5,-0.00682178,0.0,-0.00239812,0.0
-5.0,-0.00632028,0.0,-0.00226189,0.0
-5.5,-0.00603529,0.0,-0.00130425,0.0
-6.0,-0.00394239,0.0,-0.00157159,0.0
-6.5,-0.00287807,0.0,-0.00174039,0.0
-7.0,0.00062212,0.0,-0.00210616,0.0
-7.5,0.00136093,0.0,-0.00160632,0.0
-8.0,0.00283235,0.0,-0.00096775,0.0
-8.5,0.00291026,0.0,-0.00129609,0.0
-9.0,0.00410248,0.0,-0.00132099,0.0
-9.5,0.00432976,0.0,-0.00088782,0.0
-10.0,0.00204402,0.0,-0.00233504,0.0
-10.5,0.00151304,0.0,-0.00268561,0.0
-11.0,0.00112858,0.0,-0.00086960,0.0
-11.5,-0.00061059,0.0,-0.00130655,0.0
-12.0,-0.00102088,0.0,-0.00012456,0.0
-12.5,-0.00081045,0.0,0.00040345,0.0
-13.0,-0.00130542,0.0,0.00018698,0.0
-13.5,-0.00286956,0.0,0.00015136,0.0
-14.0,-0.00453475,0.0,0.00117277,0.0
