RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,Rozmarin Jerusalem
Borehole,15 N
Probe Serial#,38560000,Cal Date (m/d/y),12/22/2025
Reel Serial#,54530000
Reading Date(m/d/y),01/29/2026,09:19:37
Depth,-14.0,-0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01322272,-0.01242634,0.03203940,-0.03181068
-1.0,0.00617804,-0.00568213,0.02231846,-0.02240548
-1.5,-0.00091323,0.00158297,0.00960410,-0.00956033
-2.0,-0.00552956,0.00639538,0.00095225,-0.00071006
-2.5,-0.00894760,0.00983882,-0.00469980,0.00482513
-3.0,-0.00988027,0.01065703,-0.00770075,0.00801323
-3.5,-0.00920499,0.01005058,-0.00933370,0.00956319
-4.0,-0.00827917,0.00913113,-0.00973841,0.01003974
-4.5,-0.00677231,0.00768499,-0.00921258,0.00933989
-5.0,-0.00564826,0.00650461,-0.00821704,0.00835373
-5.5,-0.00511743,0.00595046,-0.00675492,0.00696107
-6.0,-0.00186822,0.00281543,-0.00284245,0.00310500
-6.5,-0.00130430,0.00218885,-0.00298460,0.00314371
-7.0,-0.00114268,0.00197674,-0.00363618,0.00380704
-7.5,-0.00062858,0.00149548,-0.00537283,0.00551597
-8.0,-0.00016889,0.00105258,-0.00701824,0.00724412
-8.5,0.00047258,0.00043039,-0.00907988,0.00913279
-9.0,0.00211673,-0.00134723,-0.01237976,0.01269073
-9.5,0.00155876,-0.00076570,-0.01207735,0.01230521
-10.0,0.00062795,0.00028354,-0.01112899,0.01143599
-10.5,-0.00063331,0.00154654,-0.00964644,0.00973034
-11.0,-0.00145719,0.00228780,-0.00807152,0.00822736
-11.5,-0.00171414,0.00257381,-0.00702286,0.00717314
-12.0,-0.00077611,0.00164601,-0.00728604,0.00752856
-12.5,0.00047595,0.00033653,-0.00796841,0.00816437
-13.0,0.00173355,-0.00094567,-0.00857102,0.00864297
-13.5,0.00341156,-0.00252761,-0.00769040,0.00792486
-14.0,0.00407072,-0.00328709,-0.00704273,0.00720187
