Site Name: rozmarin Jerusalem 
Borehole Name: 15
Borehole Depth: 14.0 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: 15(1)
Probe Serial Number: DPI0189
Reel Serial Number: 520
Survey Date: 20250720_101440
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
27330, 0.5, 0.062414, -0.0257256, 31.207, -12.8628, -0.0637604, 0.0235682, -31.8802, 11.7841, 0.006375, -0.02009,  null, null, null, null, -0.6732, -1.0787, 31.5436, -12.32345,  null, null, -127.60587, 47.6429,  null, null,  null, null, 
27329, 1.0, 0.0424944, -0.0114214, 21.2472, -5.7107, -0.042899, 0.0102322, -21.4495, 5.1161, 0.006375, -0.02009,  null, null, null, null, -0.2023, -0.5946, 21.34835, -5.4134,  null, null, -159.14948, 59.966347,  null, null,  null, null, 
27328, 1.5, 0.0167302, 0.0038012, 8.3651, 1.9006, -0.0179156, -0.002994, -8.9578, -1.497, 0.006375, -0.02009,  null, null, null, null, -0.5927, 0.4036, 8.66145, 1.6988,  null, null, -180.49782, 65.379745,  null, null,  null, null, 
27327, 2.0, 8.74E-5, 0.0125092, 0.0437, 6.2546, -8.972E-4, -0.011911, -0.4486, -5.9555, 0.006375, -0.02009,  null, null, null, null, -0.4049, 0.2991, 0.24615, 6.10505,  null, null, -189.15927, 63.680943,  null, null,  null, null, 
27326, 2.5, -0.0110554, 0.0194514, -5.5277, 9.7257, 0.0102696, -0.0183972, 5.1348, -9.1986, 0.006375, -0.02009,  null, null, null, null, -0.3929, 0.5271, -5.33125, 9.46215,  null, null, -189.40543, 57.575893,  null, null,  null, null, 
27325, 3.0, -0.0168146, 0.0200602, -8.4073, 10.0301, 0.0161296, -0.0206094, 8.0648, -10.3047, 0.006375, -0.02009,  null, null, null, null, -0.3425, -0.2746, -8.23605, 10.1674,  null, null, -184.07417, 48.113743,  null, null,  null, null, 
27324, 3.5, -0.0197654, 0.0195778, -9.8827, 9.7889, 0.0191146, -0.0183, 9.5573, -9.15, 0.006375, -0.02009,  null, null, null, null, -0.3254, 0.6389, -9.72, 9.46945,  null, null, -175.83812, 37.946342,  null, null,  null, null, 
27323, 4.0, -0.020504, 0.017478, -10.252, 8.739, 0.0196696, -0.0160842, 9.8348, -8.0421, -0.00726, -0.02009,  null, null, null, null, -0.4172, 0.6969, -10.0434, 8.39055,  null, null, -166.11812, 28.476894,  null, null,  null, null, 
27322, 4.5, -0.0190176, 0.0137972, -9.5088, 6.8986, 0.0182422, -0.0141524, 9.1211, -7.0762, -0.00726, -0.02009,  null, null, null, null, -0.3877, -0.1776, -9.31495, 6.9874,  null, null, -156.07472, 20.086346,  null, null,  null, null, 
27321, 5.0, -0.0168252, 0.0121556, -8.4126, 6.0778, 0.0160938, -0.0121876, 8.0469, -6.0938, -0.00726, -0.02009,  null, null, null, null, -0.3657, -0.016, -8.22975, 6.0858,  null, null, -146.75977, 13.098945,  null, null,  null, null, 
27320, 5.5, -0.0143056, 0.0105638, -7.1528, 5.2819, 0.0130652, -0.0101836, 6.5326, -5.0918, -0.00726, -0.02009,  null, null, null, null, -0.6202, 0.1901, -6.8427, 5.18685,  null, null, -138.53001, 7.0131445,  null, null,  null, null, 
27319, 6.0, -0.0061982, 0.0042742, -3.0991, 2.1371, 0.0057524, -0.0043842, 2.8762, -2.1921, -0.00726, 0.002756,  null, null, null, null, -0.2229, -0.055, -2.98765, 2.1646,  null, null, -131.68732, 1.8262945,  null, null,  null, null, 
27318, 6.5, -0.0066802, 0.0037622, -3.3401, 1.8811, 0.0058218, -0.003264, 2.9109, -1.632, -0.00726, 0.002756,  null, null, null, null, -0.4292, 0.2491, -3.1255, 1.75655,  null, null, -128.69966, -0.33830535,  null, null,  null, null, 
27317, 7.0, -0.0081372, 0.00329081, -4.0686, 1.6454, 0.0071336, -0.002899, 3.5668, -1.4495, -0.00726, 0.002756,  null, null, null, null, -0.5018, 0.1959, -3.8177, 1.54745,  null, null, -125.57416, -2.0948553,  null, null,  null, null, 
27316, 7.5, -0.011741, 0.002183, -5.8705, 1.0915, 0.0107964, -0.0019142, 5.3982, -0.9571, -0.00726, -0.008581,  null, null, null, null, -0.4723, 0.1344, -5.63435, 1.0243,  null, null, -121.756454, -3.6423054,  null, null,  null, null, 
27315, 8.0, -0.0151374, 0.0014406, -7.5687, 0.7203, 0.014189, -7.76E-4, 7.0945, -0.388, -0.00726, -3.5E-5,  null, null, null, null, -0.4742, 0.3323, -7.3316, 0.55415,  null, null, -116.1221, -4.6666055,  null, null,  null, null, 
27314, 8.5, -0.0197594, 2.94E-4, -9.8797, 0.147, 0.0185202, 8.568E-4, 9.2601, 0.4284, -0.00726, -3.5E-5,  null, null, null, null, -0.6196, 0.5754, -9.5699, -0.1407,  null, null, -108.7905, -5.2207556,  null, null,  null, null, 
